part_number,count,location,
L14921-001,5,LOUIS BOX,
900818-001,6,LOUIS BOX,
661-7473,9,LOUIS BOX,
917442-001,4,LOUIS BOX,
LP116WH8-SPC2-D,16,LOUIS BOX,
N116BCN-EB1-REV.C3,4,LOUIS BOX,
NT116WHM-A22,1,LOUIS BOX,
N116BCN-EB1-REV.C3,12,LOUIS BOX,
N116BCA-EA1,1,LOUIS BOX,
928588-001-NOPCB,2,LOUIS BOX,
917442-001,6,LOUIS BOX,
L14921-001,2,LOUIS BOX,?????
923-0430,8,LOUIS BOX,
923-0433,1,LOUIS BOX,
799735-F51-X,19,LOUIS BOX,
5C10Q79748,10,LOUIS BOX,
900812-001,11,LOUIS BOX,
5H50Q93990,1,LOUIS BOX,
A1465-LVDS-CABLE,2,LOUIS BOX,
900812-001,1,LOUIS BOX,
00HW232,1,LOUIS BOX,
917442-001,2,LOUIS BOX,
922797-001,1,LOUIS BOX,
A1713,1,LOUIS BOX,
SB10W67164,1,LOUIS BOX,
A1495,1,LOUIS BOX,
A1405,1,LOUIS BOX,
BA75-04170A,1,LOUIS BOX,
900818-001,1,LOUIS BOX,
920842-001-X,50,JAMIE DESK,
AG-3180-HG00,1,JAMIE DESK,
CABLE,8,JAMIE DESK,
656-0021A,1,JAMIE DESK,
756761-001,1,JAMIE DESK,
BA92-15863ASAC,1,JAMIE DESK,
661-11906,1,JAMIE DESK,
661-02529,1,JAMIE DESK,
NT116WHM-N21,27,SHELF BY JD,
661-06378,1,SHELF BY JD,
N140BGA-EA3REV.C1,7,SHELF BY JD,
0B200-01990100,1,SHELF BY JD,
5C10Q79748,1,SHELF BY JD,
BA41-02456A,1,SHELF BY JD,
923-0434,1,SHELF BY JD,
5H50Q79755,4,SHELF BY JD,
5CB0L85364,4,SHELF BY JD,
5CB0L02103,4,SHELF BY JD,
45GHC,5,FLOW BENCH,
NT116WHM-A22,5,FLOW BENCH,
13MBR-ASSEMBLY-2015,1,FLOW BENCH,
15MBR-ASSEMBLY-2017-SG,1,FLOW BENCH,?????
13MBR-ASSEMBLY-2016-17-SG,3,FLOW BENCH,
