DATE,MobSen SKU #,AGID#,PO#,P/N,QTY,UNIT PRICE,TOTAL,RETURN REASON,RETURN REASON DETAILS,Tracking Number
3/2/2022,107082005318,900000920039,001731,MIPAA02-HC,1,,$0.00 ,FUNCTIONALITY,DEAD SPOTS,
3/2/2022,,900000920027,001731,MIPAA02-HC,1,,$0.00 ,fUNCTIONALITY,DEAD SPOTS,
3/2/2022,107082005903,900000911399,001678,MIPA602-HC,1,,$0.00 ,FUNCTIONALITY,DEAD SPOTS,
3/2/2022,,900000896422,001619,MIPA602-HC,1,,$0.00 ,FUNCTIONALITY,DEAD SPOTS,
3/2/2022,,900000896423,001619,MIPA602-HC,1,,$0.00 ,FUNCTIONALITY,DEAD SPOTS,
3/2/2022,107082005904,500139100055,FROM SO 6830,IPA601-HC,1,,$0.00 ,FUNCTIONALITY,DEAD SPOTS,
3/2/2022,,900000917431,001722,IPA601-HC,1,,$0.00 ,FUNCTIONALITY,DEAD SPOTS,
3/2/2022,,900000917453,001722,IPA601-HC,1,,$0.00 ,FUNCTIONALITY,DEAD SPOTS,
3/2/2022,,500139100022,FROM SO 6830,IPA601-HC,1,,$0.00 ,FUNCTIONALITY,DEAD SPOTS,
3/2/2022,,900000917470,001722,IPA601-HC,1,,$0.00 ,COMPONENT,BAD/BROKEN CONNECTOR,
3/2/2022,107084000303,900000897137,001621,MIPA702-HC,1,,$0.00 ,FUNCTIONALITY,DEAD SPOTS,
3/2/2022,,900000883678,001540,MIPA702-HC,1,,$0.00 ,FUNCTIONALITY,DEAD SPOTS,
3/2/2022,107084000302,900000917601,001722,IPA701-HC,1,,$0.00 ,COMPONENT,DAMAGED PINS,
3/2/2022,107084000301,900000913933,001689,IPA7-LCD,1,,$0.00 ,BAD DATA,DIM LCD,
3/2/2022,,500117900075,FROM SO 3506,IPA7-LCD,1,,$0.00 ,BROKEN,BROKEN,
3/2/2022,,900000911442,001678,IPA7-LCD,1,,$0.00 ,BAD DATA,NO IMAGE,
3/2/2022,107082016403,900000919114,001727,IPAP10-B-LCD,1,,$0.00 ,COMPONENT,BUTTONS DON'T WORK,
3/2/2022,,900000919110,001727,IPAP10-B-LCD,1,,$0.00 ,COMPONENT,BUTTONS DON'T WORK,
3/2/2022,,900000917965,001725,IPAP10-B-LCD,1,,$0.00 ,COMPONENT,BUTTONS DON'T WORK,
3/2/2022,,900000919113,001727,IPAP10-B-LCD,1,,$0.00 ,COMPONENT,BROKEN CLIP,
3/2/2022,107082007505,900000897146,001612,IPAP11-B-LCD,1,,$0.00 ,BAD DATA,NO BACKLIGHT,
3/2/2022,107082005317,900000915987,001702,IPAABAT,1,,$0.00 ,FUNCTIONALITY,UNRECOGNIZED CHARGER,
3/2/2022,,900000904805,001702,IPAABAT,1,,$0.00 ,FUNCTIONALITY,UNRECOGNIZED CHARGER,
3/2/2022,107082007626,900000906196,001649,IPAA3HPJ,1,,$0.00 ,FUNCTIONALITY,NO FUNCTION,
3/2/2022,,900000906197,001649,IPAA3HPJ,1,,$0.00 ,FUNCTIONALITY,NO FUNCTION,
3/2/2022,107082006122,900000913726,001675,IPAACAMF,1,,$0.00 ,BAD DATA,NO IMAGE,
3/2/2022,,900000914515,001675,IPAACAMF,1,,$0.00 ,BAD DATA,NO CAM,
3/2/2022,107082016524,900000897858,001624,IPA5PV,1,,$0.00 ,COMPONENT,PORT NOT FUNCTIONING,
3/2/2022,,900000906159,001649,IPA5PV,1,,$0.00 ,COMPONENT,BAD PORT,
3/2/2022,,900000913537,001682,IPA5PV,1,,$0.00 ,FUNCTIONALITY,NO FUNCTION,
3/2/2022,,900000906146,001649,IPA5PV,1,,$0.00 ,COMPONENT,BUTTONS DON'T WORK,
3/2/2022,,900000917577,001722,IPA5PV,1,,$0.00 ,COMPONENT,BUTTONS DON'T WORK,
3/2/2022,,900000906127,001649,IPA5PV,1,,$0.00 ,BROKEN,BROKEN,
3/2/2022,107082005384,900000906121,001649,IPAACPW,1,,$0.00 ,COMPONENT,BAD PORT,
3/2/2022,107082005383,900000913849,001675,IPAACPB,1,,$0.00 ,COMPONENT,MISSING PINS/TEETH,
3/2/2022,,900000917569,001722,IPAACPB,1,,$0.00 ,COMPONENT,BAD PORT,
3/2/2022,,900000913880,001675,IPAACPB,1,,$0.00 ,FUNCTIONALITY,UNRECOGNIZED CHARGER,
3/2/2022,,900000906965,001661,IPAACPB,1,,$0.00 ,COMPONENT,BAD PORT,
3/2/2022,,900000906940,001661,IPAACPB,1,,$0.00 ,COMPONENT,BAD PORT,
3/2/2022,,900000890204,001661,IPAACPB,1,,$0.00 ,FUNCTIONALITY,KEYS DON'T FUNCTION,
3/2/2022,,900000906955,001661,IPAACPB,1,,$0.00 ,COMPONENT,MISSING PINS/TEETH,
3/2/2022,,900000890200,001580,IPAACPB,1,,$0.00 ,COMPONENT,MISSING PINS/TEETH,
3/2/2022,,900000913407,001682,IPAACPB,1,,$0.00 ,COMPONENT,BAD PORT,
