Item,Description,Labor In Minutes
REPAIR-HP-11-G1,Full Unit Repair for HP 11 G1,
HP-11-G1-DISPLAY-ASSEMBLY,Display Assembly,
REPAIR-HP-11-G1-LCD,LCD Repair,15
LP116WH6-SLA1,,
REPAIR-HP-11-G1-TOPCOVER,Topcover Repair,30
370C1LCSE60,,
REPAIR-HP-11-G1-BEZEL,Bezel Repair,15
380C1LBTN003,,
REPAIR-HP-11-G1-HINGESET,Hinge Repair,30
HP-11-G1-HINGESET,,
REPAIR-HP-11-G1-LVDS,LVDS Cable Repair,30
DD00C1L0413,,
REPAIR-HP-11-G1-CABLE-RESEAT,Cable Reseat,15
N/A,,
HP-11-G1-TOPCASE-ASSEMBLY,Topcase Assembly,
REPAIR-HP-11-G1-PALMREST,Palmrest Repair,15
HP11G1-FULLPALMREST,,
360C1TATN00,,
REPAIR-HP-11-G1-KEYBOARD,Keyboard Repair,30
NSK-G30SQ,,
APIBAE-C1U0,,
REPAIR-HP-11-G1-TRACKPAD,Trackpad Repair,15
HP11G1-TOUCHPAD,,
REPAIR-HP-11-G1-BOTTOMCASE,Bottomcase Repair,30
390C1BATN00,,
REPAIR-HP-11-G1-IO-BOARD,I/O Board Repair,15
320C1IB0000,,
3201C1IB0000 ,,
DA00C1PI4E0 ,,
REPAIR-HP-11-G1-MISSING-KEY,Key Cap Replacement,15
N/A,,
REPAIR-HP-11-G1-MOTHERBOARD,Motherboard Repair,30
N/A,,
REPAIR-HP-11-G1-OS-RESTORE,Operating System Restore,30
N/A,,
REPAIR-HP-11-G1-CHARGING-PORT-REMOVAL,Charging Port Removal,15
N/A,,
REPAIR-HP-11-G1-HPJ-REMOVAL,Headphone Jack Removal,15
N/A,,
REPAIR-HP-11-G1-CABLE-RESEAT,Cable Reseat,15
N/A,,
,,
REPAIR-HP-11-G2,Full Unit Repair for HP 11 G2,
HP-11-G2-DISPLAY-ASSEMBLY,Display Assembly,
REPAIR-HP-11-G2-LCD,LCD Repair,15
 NT116WHM-N10,,
 N116BGE-L32,,
04W1594,,
LTN116AT07-301,,
LTN116AT07-B01,,
N116BGE-L32REVC.1,,
B116XW03V.1-HW:0B/FW:1,,
REPAIR-HP-11-G2-TOPCOVER,Topcover Repair,30
773208-001,,
REPAIR-HP-11-G2-BEZEL,Bezel Repair,15
773210-001,,
36Y06TP003 ,,
REPAIR-HP-11-G2-CAMERA,Webcam Repair,15
761978-001,,
REPAIR-HP-11-G2-CABLE-RESEAT,Cable Reseat,15
N/A,,
REPAIR-HP-11-G2-LVDS,LVDS Cable Repair,30
761967-001,,
REPAIR-HP-11-G2-HINGESET,Hinge Repair,30
761972-001,,
HP-11-G2-TOPCASE-ASSEMBLY,Topcase Assembly,
REPAIR-HP-11-G2-PALMREST,Palmrest Repair,30
761974-001,,
REPAIR-HP-11-G2-TRACKPAD,Trackpad Repair,15
762580-001,,
REPAIR-HP-11-G2-BOTTOMCASE,Bottomcase Repair,30
773209-001,,
REPAIR-HP-11-G2-BATTERY,Battery Repair,30
763311-001,,
SQU-1208,,
REPAIR-HP-11-G2-IO-BOARD,I/O Board Repair,15
761971-001 ,,
DA0Y06PI4D0-REV:D ,,
REPAIR-HP-11-G2-MISSING-KEY,Key Cap Replacement,15
N/A,,
REPAIR-HP-11-G2-MOTHERBOARD,Motherboard Repair,30
N/A,,
REPAIR-HP-11-G2-OS-RESTORE,Operating System Restore,30
N/A,,
REPAIR-HP-11-G2-CHARGING-PORT-REMOVAL,Charging Port Removal,15
N/A,,
REPAIR-HP-11-G2-HPJ-REMOVAL,Headphone Jack Removal,15
N/A,,
REPAIR-HP-11-G2-CABLE-RESEAT,Cable Reseat,15
N/A,,
,,
REPAIR-HP-11-G3,Full Unit Repair for HP 11 G3,
HP-11-G3-DISPLAY-ASSEMBLY,Display Assembly,
REPAIR-HP-11-G3-LCD,LCD Repair,15
NT116WHM-N21,,
NT116WHM-N11,,
N116BGE-EA2REVC.3,,
B116XTN02.3-HW:2A/FW:0,,
REPAIR-HP-11-G3-BEZEL,Bezel Repair,15
773210-001,,
36Y06TP003 ,,
REPAIR-HP-11-G3-TOPCOVER,Topcover Repair,30
794732-001,,
794732-001-X ,,
35Y07TP303 ,,
REPAIR-HP-11-G3-CAMERA,Webcam Repair,15
783088-001,,
DY09701,,
REPAIR-HP-11-G3-LVDS,LVDS Cable Repair,30
783083-001,,
DD0Y07LC010 ,,
DD0Y07LC020 ,,
REPAIR-HP-11-G3-HINGESET,Hinge Repair,30
761972-001,,
REPAIR-HP-11-G3-CABLE-RESEAT,Cable Reseat,15
N/A,,
REPAIR-HP-11-G3-WIFI-ANTENNA,Wifi Cable Repair,30
783075-001,,
HP-11-G3-TOPCASE-ASSEMBLY,Topcase Assembly,
REPAIR-HP-11-G3-PALMREST,Palmrest Repair,15
