Item,Description,Labor In Minutes,,
REPAIR-ACER-C710,Full Unit Repair for Acer C710,,,
ACER-C710-DISPLAY-ASSEMBLY,Display Assembly,,,
REPAIR-ACER-CB-C710-LCD,LCD Repair,15,,
B116XW03V.2-HW:1B/FW:1,,,,
B116XW03V.2-HW:0B/FW:1,,,,
  B116XW03V.2-HW:1A/FW:0,,,,
REPAIR-ACER-CB-C710-TOPCOVER,Topcover Repair,30,,
AP0VF000100 ,,,,
60.SH7N2.003,,,,
REPAIR-ACER-CB-C710-BEZEL,Bezel Repair,15,,
AP0RO000220 ,,,,
60.SGYN2.008 ,,,,
REPAIR-ACER-CB-C710-CAMERA,Webcam Repair,15,,
NC.21411.00V,,,,
REPAIR-ACER-CB-C710-LVDS,LVDS Cable Repair,30,,
DC02001SB10,,,,
REPAIR-ACER-CB-C710-CABLE-RESEAT,Cable Reseat,15,,
N/A,,,,
ACER-C710-TOPCASE-ASSEMBLY,Topcase Assembly,,,
REPAIR-ACER-CB-C710-PALMREST,Palmrest Repair,30,,
AM0RO000500,,,,
AM0RO000500-X,,,,
AP0RO000370,,,,
REPAIR-ACER-CB-C710-BATTERY,Battery Repair,15,,
KT.00603.005,,,,
 AL12X32,,,,
KT.00407.002,,,,
KT.00403.004,,,,
AL12B31,,,,
 AL12A31,,,,
 AL12B32,,,,
 AK.004BT.098,,,,
 KT00403004,,,,
REPAIR-ACER-CB-C710-BOTTOM-CASE,Bottom Case Repair,30,,
ap0ro000400,,,,
60.SGYN2.002,,,,
REPAIR-ACER-CB-C710-BOTTOM-DOOR,Bottom Door Repair,15,,
AP0SU000500 ,,,,
60.SGYN2.009,,,,
REPAIR-ACER-CB-C710-SSD,SSD Repair,30,,
KN.16G0D.004,,,,
REPAIR-ACER-CB-C710-RAM,RAM Repair,15,,
ACR256X64D3S,,,,
EBJ20UF8BDU0-GN-F,,,,
KN.2GB07.008,,,,
REPAIR-ACER-CB-C710-SPEAKERS,Speaker Repair,30,,
PK23000JD00,,,,
REPAIR-ACER-CB-C710-FAN,Fan Repair,30,,
DC28000BPA0,,,,
REPAIR-ACER-CB-C710-HPJ-REMOVAL,Headphone Jack Removal,15,,
N/A,,,,
REPAIR-ACER-CB-C710-OS-RESTORE,Operating System Restore,30,,
N/A,,,,
REPAIR-ACER-CB-C710-CHARGING-PORT-REMOVAL,Charging Port Removal,15,,
N/A,,,,
REPAIR-ACER-CB-C710-USB-BOARD,I/O Board Repair,30,,
LS-8942P,,,,
REPAIR-ACER-CB-C710-MOTHERBOARD,Motherboard Repair,30,,
N/A,,,,
REPAIR-ACER-CB-C710-MISSING-KEY,Key Cap Replacement,15,,
N/A,,,,
REPAIR-ACER-CB-C710-WIFI-SOLDER,Wifi Solder,15,,
N/A,,,,
REPAIR-ACER-CB-C710-CABLE-RESEAT,Cable Reseat,15,,
N/A,,,,
REPAIR-ACER-CB-C710-WIFI-CARD,Wifi Card Replacement,15,,
AR5B22,,,,
28E347F56713 ,,,,
,,,,
REPAIR-ACER-C720,Full Unit Repair for Acer C720,,,
ACER-C720-DISPLAY-ASSEMBLY,Display Assembly,,,
REPAIR-ACER-CB-C720-LCD,LCD Repair,15,,
NT116WHM-N21,,,,
NT116WHM-N11,,,,
N116BGE-EA2REVC.3,,,,
B116XTN02.3-HW:2A/FW:0,,,,
REPAIR-ACER-CB-C720-TOPCOVER,Topcover Repair,30,,
60.SHEN7.003,,,,
60.SHEN7.003-X,,,,
ZYU40ZHNLCTN,,,,
ZYU39ZHNLCTN,,,,
ZYU4DZHNLCTN,,,,
ZYU39ZHLLCTN,,,,
CB-C720-2827-TOP-COVER,,,,
REPAIR-ACER-CB-C720-BEZEL,Bezel Repair,15,,
60.SHEN7.004,,,,
 ZYU38ZHNLBTN,,,,
 ZYU4EZHNLBTN,,,,
CB-C720-2827-BEZEL,,,,
REPAIR-ACER-CB-C720-CAMERA,Webcam Repair,15,,
NC.21411.024,,,,
REPAIR-ACER-CB-C720-LVDS,LVDS Cable Repair,30,,
  DD0ZHNLC040-REV.3B,,,,
50.SHEN7.004,,,,
DDZHNBLC000,,,,
DD0ZHNLC001,,,,
CB-C720-2827-LCD-CABLE,,,,
REPAIR-ACER-CB-C720-HINGE-LEFT,Left Hinge Repair,30,,
FBZHN004010 ,,,,
FBZHN013010,,,,
FBZHN003010 ,,,,
GYI-L/FBZHN004010 ,,,,
REPAIR-ACER-CB-C720-HINGE-RIGHT,Right Hinge Repair,30,,
FBZHN005010 ,,,,
FBZHN014010,,,,
GYI-R/FBZHN005010,,,,
REPAIR-ACER-CB-C720-CABLE-RESEAT,Cable Reseat,15,,
N/A,,,,
ACER-C720-TOPCASE-ASSEMBLY,Topcase Assembly,,,
REPAIR-ACER-CB-C720-PALMREST,Palmrest Repair,30,,
60.SHEN7.006,,,,
 ZYU47ZHNTATN,,,,
CB-C720-2827-TOPCASE,,,,
 ZYU3BZHNTCTN,,,,
REPAIR-ACER-CB-C720-MISSING-KEY,Key Cap Replacement,15,,
N/A,,,,
REPAIR-ACER-CB-C720-MOTHERBOARD,Motherboard Repair,30,,
N/A,,,,
REPAIR-ACER-CB-C720-OS-RESTORE,Operating System Restore,30,,
N/A,,,,
REPAIR-ACER-CB-C720-CHARGING-PORT-REMOVAL,Charging Port Removal,15,,
N/A,,,,
REPAIR-ACER-CB-C720-HPJ-REMOVAL,Headphone Jack Removal,15,,
N/A,,,,
REPAIR-ACER-CB-C720-BOTTOM-COVER,Bottom Cover Repair,15,,
60.SHEN7.002,,,,
ZYUEAZHN00701,,,,
 CB-C720-2827-BOTTOM-CASE,,,,
ZYU37ZHNBATN,,,,
ZYUEAZHN00270,,,,
REPAIR-ACER-CB-C720-BATTERY,Battery Repair,30,,
KT.00303.011,,,,
AP13J4K,,,,
KT.00303.014,,,,
 CB-C720-2827-BATTERY,,,,
KT.00304.001,,,,
AP13J3K,,,,
REPAIR-ACER-CB-C720-DC-JACK-SOLDER,DC Jack Repair,30,,
AC-C720-DCIN,,,,
REPAIR-ACER-CB-C720-SSD,SSD Replacement,30,,
KN.16G07.006,,,,
SNS4151S3/16GB ,,,,
SNS4151S3 ,,,,
REPAIR-ACER-CB-C720-SPEAKERS,Speaker Repair,15,,
3VZHNSATN30,,,,
23.SHEN7.001,,,,
REPAIR-ACER-CB-C720-FAN,Fan Repair,30,,
EF40050S1-C130-S99,,,,
REPAIR-ACER-CB-C720-USB-BOARD,I/O Board Repair,15,,
DA0ZHNTHAD0,,,,
REPAIR-ACER-CB-C720-WIFI-SOLDER,Wifi Solder,30,,
N/A,,,,
REPAIR-ACER-CB-C720-TRACKPAD,Trackpad Repair,30,,
720/720P-TOUCHPAD,,,,
42.EF2N7.001,,,,
REPAIR-ACER-CB-C720-CABLE-RESEAT,Cable Reseat,15,,
N/A,,,,
REPAIR-ACER-C720P,Full Unit Repair for Acer C720P,,,
ACER-C720P-DISPLAY-ASSEMBLY,Display Assembly,,,
REPAIR-ACER-CB-C720P-LCD,LCD Repair,15,,
NT116WHM-N21,,,,
NT116WHM-N11,,,,
N116BGE-EA2REVC.3,,,,
B116XTN02.3-HW:2A/FW:0,,,,
REPAIR-ACER-CB-C720P-DISPLAY-ASSEMBLY-BLK,Full Display Assembly Repair,30,,
6M.MJAN7.001,,,,
6M.MJAN7.001-X,,,,
REPAIR-ACER-CB-C720P-DISPLAY-ASSEMBLY-WHT,Full Display Assembly Repair,30,,
6M.MKEN7.001,,,,
6M.MKEN7.001-X ,,,,
REPAIR-ACER-CB-C720P-DIGI-BLK,Touchscreen Repair,30,,
EAZHN006020,,,,
ACC720PDIG,,,,
REPAIR-ACER-CB-C720P-DIGI-WHT,Touchscreen Repair,30,,
EAZHN006010,,,,
 ACC720PDIGW ,,,,
REPAIR-ACER-CB-C720P-LVDS,LVDS Cable Repair,30,,
DDZHNALC020 ,,,,
50.MJAN7.001,,,,
DDZHNALC020-REV.3B,,,,
REPAIR-ACER-CB-C720P-CABLE-RESEAT,Cable Reseat,15,,
N/A,,,,
REPAIR-ACER-CB-C720P-TOPCOVER-BLK,Black Topcover Repair,30,,
60.MJAN7.001,,,,
REPAIR-ACER-CB-C720P-TOPCOVER-WHT,White Topcover Repair,30,,
60.MKEN7.010,,,,
REPAIR-ACER-CB-C720P-CAMERA,Webcam Repair,15,,
NC.21411.024,,,,
REPAIR-ACER-CB-C720P-HINGE-LEFT,Left Hinge Repair,30,,
FBZHN018010,,,,
REPAIR-ACER-CB-C720P-HINGE-RIGHT,Right Hinge Repair,30,,
FBZHN019010,,,,
ACER-C720P-TOPCASE-ASSEMBLY,Topcase Assembly,,,
REPAIR-ACER-CB-C720P-PALMREST-BLK,Black Palmrest Repair,30,,
60.SHEN7.006,,,,
 ZYU47ZHNTATN,,,,
CB-C720-2827-TOPCASE,,,,
 ZYU3BZHNTCTN,,,,
60.SHEN7.006-PLASTICS,,,,
REPAIR-ACER-CB-C720P-PALMREST-WHT,White Palmrest Repair,30,,
60.MKEN7.001,,,,
60.MKEN7.001-X,,,,
ZYU47ZHNPATN ,,,,
REPAIR-ACER-CB-C720P-MISSING-KEY,Key Cap Replacement,15,,
N/A,,,,
REPAIR-ACER-CB-C720P-MOTHERBOARD,Motherboard Repair,30,,
N/A,,,,
REPAIR-ACER-CB-C720P-OS-RESTORE,Operating System Restore,30,,
N/A,,,,
REPAIR-ACER-CB-C720P-CHARGING-PORT-REMOVAL,Charging Port Removal,15,,
N/A,,,,
REPAIR-ACER-CB-C720P-HPJ-REMOVAL,Headphone Jack Removal,15,,
N/A,,,,
REPAIR-ACER-CB-C720P-BOTTOM-COVER-BLK,Bottom Cover Repair,15,,
60.SHEN7.002,,,,
ZYUEAZHN00701,,,,
 CB-C720-2827-BOTTOM-CASE,,,,
ZYU37ZHNBATN,,,,
ZYUEAZHN00270,,,,
REPAIR-ACER-CB-C720P-BOTTOM-COVER-WHT,Bottom Cover Repair,15,,
60.MKEN7.009,,,,
 ZYUEAZHN0070 ,,,,
60.MKEN7.009-X ,,,,
REPAIR-ACER-CB-C720P-BATTERY,Battery Repair,30,,
KT.00303.011,,,,
AP13J4K,,,,
KT.00303.014,,,,
 CB-C720-2827-BATTERY,,,,
KT.00304.001,,,,
AP13J3K,,,,
REPAIR-ACER-CB-C720P-SSD,SSD Replacement,30,,
KN.16G07.006,,,,
SNS4151S3/16GB ,,,,
SNS4151S3 ,,,,
REPAIR-ACER-CB-C720P-SPEAKERS,Speaker Repair,15,,
3VZHNSATN30,,,,
23.SHEN7.001,,,,
REPAIR-ACER-CB-C720P-WIFI-SOLDER,Wifi Solder,30,,
N/A,,,,
REPAIR-ACER-CB-C720P-TRACKPAD,Trackpad Repair,30,,
42.EF2N7.001,,,,
REPAIR-ACER-CB-C720P-CABLE-RESEAT,Cable Reseat,15,,
N/A,,,,
REPAIR-ACER-CB-C720P-USB-BOARD,I/O Board Repair,15,,
DA0ZHNTHAD0,,,,
,,,,
REPAIR-ACER-C740,Full Unit Repair for Acer C740,,,
ACER-C740-DISPLAY-ASSEMBLY,Display Assembly,,,
REPAIR-ACER-CB-C740-LCD,LCD Repair,15,,
NT116WHM-N21,,,,
NT116WHM-N11,,,,
N116BGE-EA2REVC.3,,,,
B116XTN02.3-HW:2A/FW:0,,,,
REPAIR-ACER-CB-C740-TOPCOVER,Topcover Repair,30,,
60.EF2N7.002,,,,
REPAIR-ACER-CB-C740-BEZEL,Bezel Repair,15,,
60.EF2N7.003,,,,
REPAIR-ACER-CB-C740-CAMERA,Webcam Repair,30,,
NC.21411.02V,,,,
REPAIR-ACER-CB-C740-LVDS,LVDS Cable Repair,30,,
50.SHEN7.004,,,,
DD0ZHNLC040-REV.3B,,,,
CB-C720-2827-LCD-CABLE,,,,
DDZHNBLC000 ,,,,
DD0ZHNLC001 ,,,,
REPAIR-ACER-CB-C740-CABLE-RESEAT,Cable Reseat,15,,
N/A,,,,
REPAIR-ACER-CB-C740-HINGE-RIGHT,Right Hinge Repair,30,,
33.EF2N7.001,,,,
FBZHN026010 ,,,,
REPAIR-ACER-CB-C740-HINGE-LEFT,Left Hinge Repair,30,,
33.EF2N7.002,,,,
FBZHN025010 ,,,,
ACER-C740-TOPCASE-ASSEMBLY,Topcase Assembly,,,
REPAIR-ACER-CB-C740-PALMREST,Palmrest Repair,30,,
60.EF2N7.021,,,,
EAZHN010010,,,,
REPAIR-ACER-CB-C740-MISSING-KEY,Key Cap Replacement,15,,
N/A,,,,
REPAIR-ACER-CB-C740-BOTTOM-COVER,Bottom Cover Repair,15,,
60.EF2N7.001,,,,
REPAIR-ACER-CB-C740-MOTHERBOARD,Motherboard Repair,30,,
N/A,,,,
REPAIR-ACER-CB-C740-OS-RESTORE,Operating System Restore,30,,
N/A,,,,
REPAIR-ACER-CB-C740-CHARGING-PORT-REMOVAL,Charging Port Removal,15,,
N/A,,,,
REPAIR-ACER-CB-C740-HPJ-REMOVAL,Headphone Jack Removal,15,,
N/A,,,,
REPAIR-ACER-CB-C740-BATTERY,Battery Repair,30,,
KT.00303.011,,,,
AP13J4K,,,,
KT.00303.014,,,,
 CB-C720-2827-BATTERY,,,,
KT.00304.001,,,,
AP13J3K,,,,
REPAIR-ACER-CB-C740-TRACKPAD,Trackpad Repair,30,,
56.EF2N7.SV1,,,,
 C740-TOUCHPAD ,,,,
 740-TOUCHPAD,,,,
56.EF2N7.001 ,,,,
REPAIR-ACER-CB-C740-USB-BOARD,I/O Board Repair,15,,
DA0ZHNTHAD0,,,,
REPAIR-ACER-CB-C740-FAN,Fan Repair,30,,
60.EF2N7.004,,,,
REPAIR-ACER-CB-C740-SSD,SSD Repair,30,,
KN.16G07.010,,,,
REPAIR-ACER-CB-C740-SPEAKERS,Speaker Repair,15,,
23.SHEN7.001,,,,
3VZHNSATN30 ,,,,
REPAIR-ACER-CB-C40-WIFI-SOLDER,Wifi Solder,30,,
N/A,,,,
REPAIR-ACER-CB-C740-CABLE-RESEAT,Cable Reseat,15,,
N/A,,,,
