Item,Description,Labor In Minutes
REPAIR-ASUS-C100PA,Full Unit Repair for Asus C100PA,
ASUS-C100PA-DISPLAY-ASSEMBLY,Display Assembly,
REPAIR-ASUS-CB-C100PA-LCD-DIGI,Touchscreen Repair,30
90NL0971-R20010,,
REPAIR-ASUS-CB-C100PA-TOPCOVER,Topcover Repair,30
90NL0971-R7A010,,
 13NL0971AM0132 ,,
REPAIR-ASUS-CB-C100PA-LVDS,LVDS Cable Repair,30
14005-01690000,,
REPAIR-ASUS-CB-C100PA-HINGECOVER,Hingecover Repair,15
13NB0971P09011 ,,
REPAIR-ASUS-CB-C100PA-HINGE-L,Left Hinge Repair,30
13NB0971M08011,,
REPAIR-ASUS-CB-C100PA-HINGE-R,Right Hinge Repair,30
13NB0971M07011,,
REPAIR-ASUS-CB-C100PA-CABLE-RESEAT,Cable Reseat,15
N/A,,
ASUS-C100PA-TOPCASE-ASSEMBLY,Topcase Assembly,
REPAIR-ASUS-CB-C100PA-PALMREST,Palmrest Repair,30
90NL0971-R31US0,,
 13NL0971AM0212 ,,
13NL0971AM0222 ,,
  13NL0971AM0232 ,,
REPAIR-ASUS-CB-C100PA-BOTTOMCOVER,Bottom Cover Repair,15
13NL0971AM0312,,
REPAIR-ASUS-CB-C100PA-DC-JACK,DC Jack Repair,15
2DW3152-000111F,,
REPAIR-ASUS-CB-C100PA-TRACKPAD,Trackpad Repair,30
90NL0970-R90010,,
REPAIR-ASUS-CB-C100PA-SPEAKERS,Speaker Repair,15
04072-01740000,,
REPAIR-ASUS-CB-C100PA-BATTERY,Battery Repair,30
0B200-01550000,,
 0B200-01650000 ,,
  0B200-01650100 ,,
REPAIR-ASUS-CB-C100PA-POWERBOARD,Power Board Repair,30
60NL0970-IO1040-210,,
REPAIR-ASUS-CB-C100PA-MISSING-KEY,Key Cap Replacement,15
N/A,,
REPAIR-ASUS-CB-C100PA-MOTHERBOARD,Motherboard Repair,30
N/A,,
REPAIR-ASUS-CB-C100PA-OS-RESTORE,Operating System Restore,30
N/A,,
REPAIR-ASUS-CB-C100PA-CHARGING-PORT-REMOVAL,Charging Port Removal,15
N/A,,
REPAIR-ASUS-CB-C100PA-HPJ-REMOVAL,Headphone Jack Removal,15
N/A,,
,,
REPAIR-ASUS-C200MA,Full Unit Repair for Asus C200MA,
ASUS-C200MA-DISPLAY-ASSEMBLY,Display Assembly,
REPAIR-ASUS-CB-C200MA-LCD,LCD Repair,15
N116BGE-EB2REV.C1,,
N116BGE-EB2REV.C4,,
N116BGE-EB2REVC.2,,
 B116XTN02.2-HW:1A/FW:0,,
N116BGE-EB2REV.C2,,
B116XTN02.3-HW:1A/FW:0,,
REPAIR-ASUS-CB-C200MA-BEZEL,Bezel Repair,15
13NB05M1AP0601,,
REPAIR-ASUS-CB-C200MA-TOPCOVER,Topcover Repair,30
90NB05M1-R7A000,,
REPAIR-ASUS-CB-C200MA-LVDS,LVDS Cable Repair,30
14005-01350000,,
DD00C7LC010 ,,
REPAIR-ASUS-CB-C200MA-HINGECOVER,Hingecover Repair,15
C200-HINGECOVER,,
REPAIR-ASUS-CB-C200MA-CABLE-RESEAT,Cable Reseat,15
N/A,,
REPAIR-ASUS-CB-C200MA-CAMERA,Webcam Repair,15
04081-00093500,,
REPAIR-ASUS-CB-C200MA-HINGESET,Hinge Repair,30
C200-HINGESET,,
ASUS-C200MA-TOPCASE-ASSEMBLY,Topcase Assembly,
REPAIR-ASUS-CB-C200M-PALMREST,Palmrest Repair,30
13NB05M1AP0301,,
90NB05M1-R31US0,,
REPAIR-ASUS-CB-C200M-BOTTOMCOVER,Bottom Cover Repair,15
90NB05M1-R7D000,,
13NB05M1AP0101 ,,
REPAIR-ASUS-CB-C200M-TRACKPAD,Trackpad Repair,15
90NB05M1-R90010 ,,
REPAIR-ASUS-CB-C200M-BATTERY,Battery Repair,30
0B200-00970000,,
B31N1342 ,,
  0B200-00970200 ,,
REPAIR-ASUS-CB-C200M-IO-BOARD,I/O Board Repair,15
90NB05M0-R10020,,
REPAIR-ASUS-CB-C200M-MISSING-KEY,Key Cap Repair,15
N/A,,
REPAIR-ASUS-CB-C200M-MOTHERBOARD,Motherboard Repair,30
N/A,,
REPAIR-ASUS-CB-C200M-OS-RESTORE,Operating System Restore,30
N/A,,
REPAIR-ASUS-CB-C200M-CHARGING-PORT-REMOVAL,Charging Port Removal,15
N/A,,
REPAIR-ASUS-CB-C200M-HPJ-REMOVAL,Headphone Jack Removal,15
N/A,,
REPAIR-ASUS-CB-C200MA-TRACKPAD-CABLE,Trackpad Cable Repair,15
ASUS-C200MA-EDU-TP-CABLE,,
REPAIR-ASUS-CB-C200MA-WIFI-CARD,Wifi Card Repair,15
710663-001,,
,,
REPAIR-ASUS-C201PA,Full Unit Repair for Asus C201PA,
ASUS-C201PA-DISPLAY-ASSEMBLY,Display Assembly,
REPAIR-ASUS-CB-C201PA-LCD,LCD Repair,15
B116XTN02.3-HW:3A/FW:0,,
 N116BGE-EB2REV.C3 ,,
N116BGE-EB2REV.C5 ,,
N116BGE-EB2REV.C6 ,,
REPAIR-ASUS-CB-C201PA-BEZEL,Bezel Repair,15
90NL0912-R7B010,,
 13NL0912AP0101 ,,
REPAIR-ASUS-CB-C201PA-TOPCOVER,Topcover Repair,30
90NL0912-R7A010,,
13NB0912AP0101 ,,
REPAIR-ASUS-CB-C201PA-CAMERA,Webcam Repair,15
04081-00093500,,
REPAIR-ASUS-CB-C201PA-HINGECOVER,Hingecover Repair,15
13NL0912AP0201,,
REPAIR-ASUS-CB-C201PA-HINGE-L,Left Hinge Repair,30
13NB0911M04011,,
13NB0911M04021 ,,
REPAIR-ASUS-CB-C201PA-HINGE-R,Right Hinge Repair,30
13NB0911M03011,,
 FB0Q1005010 ,,
13NB0911M03021 ,,
REPAIR-ASUS-CB-C201PA-LVDS,LVDS Cable Repair,30
14005-01660300,,
 DD00Q1LC110 ,,
REPAIR-ASUS-CB-C201PA-CABLE-RESEAT,Cable Reseat,15
N/A,,
ASUS-C201PA-TOPCASE-ASSEMBLY,Topcase Assembly,
REPAIR-ASUS-CB-C201PA-PALMREST,Palmrest Repair,15
13NB0912AP0401,,
90NL0912-R31US0,,
13NB0912AP0411,,
REPAIR-ASUS-CB-C201PA-BOTTOMCASE,Bottomcase Repair,30
90NL0912-R7D010,,
 13NB0912AP0311,,
REPAIR-ASUS-CB-C201PA-TRACKPAD,Trackpad Repair,15
04060-00730000,,
REPAIR-ASUS-CB-C201PA-SPEAKERS,Speaker Repair,15
04072-01680100,,
 04072-01680000 ,,
REPAIR-ASUS-CB-C201PA-IO-BOARD,I/O Board Repair,15
60NL0910-IO1000-201,,
 90NL0910-R10010 ,,
REPAIR-ASUS-CB-C201PA-BATTERY,Battery Repair,30
0B200-01470000,,
 0B200-01470200,,
  C21N1430,,
REPAIR-ASUS-CB-C201PA-MISSING-KEY,Key Cap Replacement,15
N/A,,
REPAIR-ASUS-CB-C201PA-MOTHERBOARD,Motherboard Repair,30
N/A,,
REPAIR-ASUS-CB-C201PA-OS-RESTORE,Operating System Restore,30
N/A,,
REPAIR-ASUS-CB-C201PA-CHARGING-PORT-REMOVAL,Charging Port Removal,15
N/A,,
REPAIR-ASUS-CB-C201PA-HPJ-REMOVAL,Headphone Jack Removal,15
N/A,,
REPAIR-ASUS-CB-C201PA-TRACKPAD-CABLE,Trackpad Cable Repair,15
14010-00440600,,
,,
REPAIR-ASUS-C202SA-YS02,Full Unit Repair for Asus C202SA-YS02,
ASUS-C202SA-YS02-DISPLAY-ASSEMBLY,Display Assembly,
REPAIR-ASUS-CB-C202SA-LCD,LCD Repair,15
 B116XTN02.3-HW:3B/FW:0,,
N116BGE-EA2REVC.1(T&B),,
B116XTN02.3-HW:3B/FW:0,,
REPAIR-ASUS-CB-C202SA-TOPCOVER,Topcover Repair,30
13NX00Y2AP0111,,
90NX00Y2-R7A010 ,,
REPAIR-ASUS-CB-C202SA-BEZEL,Bezel Repair,15
13NX00Y2P02011,,
 90NX00Y2-R7B010,,
REPAIR-ASUS-CB-C202SA-LVDS,LVDS Cable Repair,30
14005-02020100,,
DD00Q3LC001,,
14005-02020300,,
  14005-02020200 ,,
REPAIR-ASUS-CB-C202SA-CAMERA,Webcam Repair,15
04081-00093500,,
REPAIR-ASUS-CB-C202SA-HINGECOVER,Hingecover Repair,15
13NX00Y2P05011,,
 13NX00Y2P05012 ,,
13NX00Y2P05111 ,,
REPAIR-ASUS-CB-C202SA-HINGE-L,Left Hinge Repair,30
13NX00Y0M04011,,
 13NX00Y0M04021,,
REPAIR-ASUS-CB-C202SA-HINGE-R,Right Hinge Repair,30
13NX00Y0M03011,,
13NX00Y0M03021,,
REPAIR-ASUS-CB-C202SA-CABLE-RESEAT,Cable Reseat,15
N/A,,
ASUS-C202SA-YS02-TOPCASE-ASSEMBLY,Topcase Assembly,
REPAIR-ASUS-CB-C202SA-PALMREST,Palmrest Repair,30
13NXY00Y1AP0311,,
90NX00Y1-R30120,,
REPAIR-ASUS-CB-C202SA-BOTTOMCOVER,Bottom Cover Repair,30
13NX00Y2AP0401,,
90NX00Y2-R7D010,,
REPAIR-ASUS-CB-C202SA-TRACKPAD,Trackpad Repair,15
90NX00Y0-R90010,,
REPAIR-ASUS-CB-C202SA-SPEAKERS,Speaker Repair,15
04072-02070100,,
04072-02070000,,
REPAIR-ASUS-CB-C202SA-IO-BOARD,I/O Board Repair,15
90NX00Y0-R10010-NOCABLE,,
90NX00Y0-R10010,,
REPAIR-ASUS-CB-C202SA-WIFI-CARD,Wifi Card Repair,15
0C012-00110000,,
REPAIR-ASUS-CB-C202SA-BATTERY,Battery Repair,30
0B200-01990000,,
REPAIR-ASUS-CB-C202SA-MISSING-KEY,Key Cap Repair,15
N/A,,
REPAIR-ASUS-CB-C202SA-MOTHERBOARD,Motherboard Repair,30
N/A,,
REPAIR-ASUS-CB-C202SA-OS-RESTORE,Operating System Restore,30
N/A,,
REPAIR-ASUS-CB-C202SA-CHARGING-PORT-REMOVAL,Charging Port Removal,15
N/A,,
REPAIR-ASUS-CB-C202SA-HPJ-REMOVAL,Headphone Jack Removal,15
N/A,,
REPAIR-ASUS-CB-C202SA-TRACKPAD-CABLE,Trackpad Cable Repair,15
14010-00441300,,
,,
REPAIR-ASUS-C300MA,Full Unit Repair for Asus C300MA,
ASUS-C300MA-DISPLAY-ASSEMBLY,Display Assembly,
REPAIR-ASUS-CB-C300MA-LCD,LCD Repair,15
N133BGE-EAB-REV.C1,,
 M133NWN1.R3-HW:1.2-FW:0.0,,
 33WX11660BUX2,,
33WX11660BUX1,,
KL.13305.019,,
HB133WX1-402VER3.2 ,,
HB133WX1-402VER3.1 ,,
M133NWN1.R3-HW:1.A-FW:0.1,,
HB133WX1-40SVER3.2 ,,
P000628100,,
M133NWN1.R3-HW:4.C-FW:0.1,,
B133XTN01.6-HW:2A/FW:1,,
 B133XTN01.3-HW:2A/FW:1,,
P000628110,,
 HB133WX1-402VER3.0 ,,
M133NWN1-HW:4.C-FW:0.1,,
 HB133WX1-40SVER3.0 ,,
 KL.1330D.001,,
REPAIR-ASUS-CB-C300MA-TOPCOVER-BLK,Black Topcover Repair,30
13NB05W1AP0101,,
REPAIR-ASUS-CB-C300MA-TOPCOVER-BLUE,Blue Topcover Repair,30
13NB05W4AP0101,,
REPAIR-ASUS-CB-C300MA-TOPCOVER-YELLOW,Yellow Topcover Repair,30
13NB05W5AP0101,,
REPAIR-ASUS-CB-C300MA-TOPCOVER-RED,Red Topcover Repair,30
13NB05W3AP0101,,
REPAIR-ASUS-CB-C300MA-TOPCOVER-WHT,White Topcover Repair,30
13NB05W6AP0101,,
REPAIR-ASUS-CB-C300MA-BEZEL-BLK,Bezel Repair,15
13NB05W1AP0211,,
 90NB05W1-R7B000,,
REPAIR-ASUS-CB-C300MA-LVDS,LVDS Cable Repair,30
DD0C8LC010,,
 DD00CBLC001 ,,
  14005-01450400 ,,
REPAIR-ASUS-CB-C300MA-HINGESET,Hinge Repair,30
C300-HINGESET,,
REPAIR-ASUS-CB-C300MA-HINGECOVER-BLK,Black Hingecover Repair,15
13NB05W1P08011,,
REPAIR-ASUS-CB-C300MA-HINGECOVER-WHT,White Hingecover Repair,15
13NB05W2P08011,,
REPAIR-ASUS-CB-C300MA-CABLE-RESEAT,Cable Reseta,15
N/A,,
ASUS-C300MA-TOPCASE-ASSEMBLY,Topcase Assembly,
REPAIR-ASUS-CB-C300MA-PALMREST-BLK,Black Palmrest Repair,15
13NB05W1AP0301,,
3L0C8TCJN00 ,,
90NB05W1-R31US0 ,,
REPAIR-ASUS-CB-C300MA-PALMREST-WHT,White Palmrest Repair,15
13NB05W6AP0201  ,,
90NB05W6-R31US0 ,,
REPAIR-ASUS-CB-C300MA-BOTTOMCOVER-BLK,Black Bottom Cover Repair,30
13NB05W1AP0611,,
13NB05W1AP0601,,
REPAIR-ASUS-CB-C300MA-BOTTOMCOVER-BLUE,Blue Bottomcover Repair,30
13NB05W4AP0601,,
REPAIR-ASUS-CB-C300MA-BOTTOMCOVER-YELLOW,Yellow Bottomcover Repair,30
13NB05W5AP0601,,
REPAIR-ASUS-CB-C300MA-BOTTOMCOVER-RED,Red Bottomcover Repair,30
13NB05W3AP0601,,
REPAIR-ASUS-CB-C300MA-IO-BOARD,I/O Board Repair,15
60NB05W0-101110,,
REPAIR-ASUS-CB-C300MA-BATTERY,Battery Repair,30
0B200-01010000,,
B31N3346,,
REPAIR-ASUS-CB-C300MA-MISSING-KEY,Key Cap Replacement,15
N/A,,
REPAIR-ASUS-CB-C300MA-MOTHERBOARD,Motherboard Repair,30
N/A,,
REPAIR-ASUS-CB-C300MA-OS-RESTORE,Operating System Restore,30
N/A,,
REPAIR-ASUS-CB-C300MA-CHARGING-PORT-REMOVAL,Charging Port Removal,15
N/A,,
REPAIR-ASUS-CB-C300MA-HPJ-REMOVAL,Headphone Jack Removal,15
N/A,,
,,
REPAIR-ASUS-T100HA,Full Unit Repair for Asus T100HA,
ASUS-T100HA-DISPLAY-ASSEMBLY,Display Assembly,
REPAIR-ASUS-T100HA-DIGI,Touchscreen Repair,30
