Item,Description,Labor In Minutes,,
REPAIR-DELL-CB1C13,Full Unit Repair for Dell CB1C13 (Gen 1),,,
DELL-CB1C13-DISPLAY-ASSEMBLY,Display Assembly,,,
REPAIR-DELL-CB-CB1C13-GLASS,Glass Repair,45,,
DELL-CB11-GLASS,,,,
7179K,,,,
REPAIR-DELL-CB-CB1C13-LCD,LCD Repair,30,,
NT116WHM-N21,,,,
NT116WHM-N11,,,,
N116BGE-EA2REVC.3,,,,
B116XTN02.3-HW:2A/FW:0,,,,
REPAIR-DELL-CB-CB1C13-TOPCOVER,Topcover Repair,45,,
56JWV,,,,
REPAIR-DELL-CB-CB1C13-LVDS,LVDS Cable Repair,45,,
DD0ZM7LC010,,,,
23ZM7LAWI10,,,,
REPAIR-DELL-CB-CB1C13-CAMERA,Webcam Repair,30,,
FHTVF,,,,
REPAIR-DELL-CB-CB1C13-HINGECOVER,Hingecover Repair,15,,
D11G1-HINGECOVER,,,,
REPAIR-DELL-CB-CB1C13-HINGE-L,Left Hinge Repair,30,,
FBZM7003010,,,,
REPAIR-DELL-CB-CB1C13-HINGE-R,Right Hinge Repair,30,,
FBZM7004010,,,,
REPAIR-DELL-CB-CB1C13-CABLE-RESEAT,Cable Reseat,30,,
N/A,,,,
REPAIR-DELL-CB-CB1C13-WIFI-ANTENNA,Wifi Cable Repair,45,,
DQ6E15G4100,,,,
DELL-CB1C13-TOPCASE-ASSEMBLY,Topcase Assembly,,,
REPAIR-DELL-CB-CB1C13-PALMREST,Palmrest Repair,30,,
CK4ND,,,,
WR67C,,,,
REPAIR-DELL-CB-CB1C13-BOTTOMCOVER,Bottom Cover Repair,15,,
VY6KH,,,,
X9XCN,,,,
0VY6KH,,,,
REPAIR-DELL-CB-CB1C13-BATTERY,Battery Repair,30,,
1132N,,,,
REPAIR-DELL-CB-CB1C13-SPEAKERS,Speaker Repair,15,,
CH8TH,,,,
REPAIR-DELL-CB-CB1C13-WIFI-CARD,Wifi Card Repair,15,,
K2GW5 ,,,,
REPAIR-DELL-CB-CB1C13-HEATSINK,Heatsink Repair,15,,
FGMJ2,,,,
REPAIR-DELL-CB-CB1C13-FAN,Fan Repair,15,,
M46X2,,,,
REPAIR-DELL-CB-CB1C13-DC-JACK,DC Jack Repair,15,,
PHXNH,,,,
DD0ZM7AD000,,,,
REPAIR-DELL-CB-CB1C13-IO-BOARD,I/O Board Repair,15,,
9CKY7,,,,
REPAIR-DELL-CB-CB1C13-TRACKPAD-CABLE,Trackpad Cable Repair,15,,
KF6MP,,,,
REPAIR-DELL-CB-CB1C13-LED-BOARD,LED Board Repair,15,,
R8DJR,,,,
REPAIR-DELL-CB-CB1C13-SCREWSET,Screw Set Replacement,15,,
DELL11CB1C13-GEN1-SCREWSET ,,,,
REPAIR-DELL-CB-CB1C13-MISSING-KEY,Key Cap Replacement ,15,,
N/A,,,,
REPAIR-DELL-CB-CB1C13-MOTHERBOARD,Motherboard Repair,30,,
N/A,,,,
REPAIR-DELL-CB-CB1C13-OS-RESTORE,Operating System Repair,30,,
N/A,,,,
REPAIR-DELL-CB-CB1C13-CHARGING-PORT-REMOVAL,Charging Port Removal,15,,
N/A,,,,
REPAIR-DELL-CB-CB1C13-HPJ-REMOVAL,Headphone Jack Removal,15,,
N/A,,,,
,,,,
REPAIR-DELL-P22T,Full Unit Repair for Dell P22T (Gen 2),,,
DELL-P22T-DISPLAY-ASSEMBLY,Display Assembly,,,
REPAIR-DELL-CB-P22T-LCD-NON-TOUCH,LCD Repair,15,,
NT116WHM-N21,,,,
NT116WHM-N11,,,,
N116BGE-EA2REVC.3,,,,
B116XTN02.3-HW:2A/FW:0,,,,
REPAIR-DELL-CB-P22T-LCD-TOUCH,,15,,
NV116WHM-A20,,,,
RJXPT,,,,
B116XTT01.1-HW:1A/FW:0,,,,
B116XTT01.1-HW:0A/FW:0,,,,
 B116XAT02.2-HW:0A/FW:1,,,,
REPAIR-DELL-CB-P22T-TOPCOVER-BLK,Black Topcover Repair,30,,
3CP5R,,,,
60MY1,,,,
WFTT3,,,,
GNHJG,,,,
N4DDV,,,,
3CP5R-WITHLVDS/HINGES,,,,
REPAIR-DELL-CB-P22T-TOPCOVER-BLUE,Blue Topcover Repair,30,,
MP5XR,,,,
FK2JJ,,,,
REPAIR-DELL-CB-P22T-BEZEL,Bezel Repair,15,,
XP4KJ,,,,
WFFTC,,,,
HM71C,,,,
W2H2T,,,,
W3TXP,,,,
Y2H2T,,,,
REPAIR-DELL-CB-P22T-LVDS-NON-TOUCH,LVDS Cable Repair,30,,
