Item,Description,Labor In Minutes,,
REPAIR-LENOVO-100E,Full Unit Repair for Lenovo 100E,,,
LENOVO-100E-DISPLAY-ASSEMBLY,Display Assembly,,,
REPAIR-LENOVO-100E-LCD,LCD Repair,15,,
N116BGE-EA2REVC.4,,,,
REPAIR-LENOVO-100E-TOPCOVER,Topcover Repair,30,,
5CB0R07045,,,,
REPAIR-LENOVO-100E-CAMERA,Webcam Repair,15,,
5C20R07049,,,,
REPAIR-LENOVO-100E-LVDS,LVDS Cable Repair,30,,
5C10R07027,,,,
REPAIR-LENOVO-100E-BEZEL,Bezel Repair,15,,
5B30R07041,,,,
REPAIR-LENOVO-100E-HINGESET,Hinge Repair,45,,
5H50R07048,,,,
REPAIR-LENOVO-100E-CABLE-RESEAT,Cable Reseat,15,,
N/A,,,,
LENOVO-100E-TOPCASE-ASSEMBLY,Topcase Assembly,,,
REPAIR-LENOVO-100E-PALMREST,Palmrest Repair,15,,
5CB0R07036,,,,
REPAIR-LENOVO-100E-BATTERY,Battery Repair,30,,
5B10Q13163,,,,
REPAIR-LENOVO-100E-USB-BOARD,I/O Board Repair,30,,
5C50R07030,,,,
REPAIR-LENOVO-100E-SPEAKERS,Speaker Repair,15,,
5SB0Q79732,,,,
REPAIR-LENOVO-100E-BOTTOMCOVER,Bottom Cover Repair,15,,
5CB0R07037,,,,
REPAIR-LENOVO-100E-WIFI-CARD,Wifi Card Repair,15,,
SW10H24548,,,,
REPAIR-LENOVO-100E-MISSING-KEY,Key Cap Replacement,15,,
N/A,,,,
REPAIR-LENOVO-100E-MOTHERBOARD,Motherboard Repair,30,,
N/A,,,,
REPAIR-LENOVO-100E-OS-RESTORE,Operating System Restore,30,,
N/A,,,,
REPAIR-LENOVO-100E-CHARGING-PORT-REMOVAL,Charging Port Removal,15,,
N/A,,,,
REPAIR-LENOVO-100E-HPJ-REMOVAL,Headphone Jack Removal,15,,
N/A,,,,
REPAIR-LENOVO-100E-CABLE-RESEAT,Cable Reseat,15,,
N/A,,,,
,,,,
REPAIR-LENOVO-100E Gen 2,Full Unit Repair for Lenovo 100E Gen 2,,,
LENOVO-100E-DISPLAY-ASSEMBLY,Display Assembly,,,
REPAIR-LENOVO-100EG2-LCD,LCD Repair,15,,
N116BCA-EA1-REVC.1,,,,
N116BGE-EA2REVC.2,,,,
NT116WHM-N21,,,,
N116BCE-EA1-REVC.1,,,,
NT116WHM-N42,,,,
NT116WHM-N11,,,,
B116XTN02.3-HW:2C/FW:0,,,,
REPAIR-LENOVO-100EG2-TOPCOVER,Topcover Repair,30,,
5CB0T70806,,,,
REPAIR-LENOVO-100EG2-CAMERA,Webcam Repair,15,,
5C20T77524,,,,
REPAIR-LENOVO-100EG2-LVDS,LVDS Cable Repair,30,,
5C10T70808,,,,
REPAIR-2LENOVO-100EG-BEZEL,Bezel Repair,15,,
5B30T70505,,,,
REPAIR-LE2NOVO-100EG-HINGESET,Hinge Repair,45,,
5H50T70508,,,,
REPAIR-LENOVO-100EG2-CABLE-RESEAT,Cable Reseat,15,,DO NOT PUT ON WEBSITE
N/A,,,,
LENOVO-100EG2-TOPCASE-ASSEMBLY,Topcase Assembly,,,
REPAIR-LENOVO-100E-PALMREST,Palmrest Repair,15,,
5CB0T79741,,,,
5CB0T79741-RECL,,,,
REPAIR-LENOVO-100E-BATTERY,Battery Repair,30,,
5B10S73396,,,,
REPAIR-LENOVO-100E-USB-BOARD,I/O Board Repair,30,,
5B40T70716,,,,
REPAIR-LENOVO-100E-SPEAKERS,Speaker Repair,15,,
5SB0T45109,,,,
REPAIR-LENOVO-100E-BOTTOMCOVER,Bottom Cover Repair,15,,
5CB0T70809,,,,
5CB0T70809-RECL,,,,
REPAIR-LENOVO-100E-WIFI-CARD,Wifi Card Repair,15,,
01AX768,,,,
REPAIR-LENOVO-100E-MISSING-KEY,Key Cap Replacement,15,,DO NOT PUT ON WEBSITE
N/A,,,,
REPAIR-LENOVO-100E-MOTHERBOARD,Motherboard Repair,30,,
N/A,,,,
REPAIR-LENOVO-100E-OS-RESTORE,Operating System Restore,30,,DO NOT PUT ON WEBSITE
N/A,,,,
REPAIR-LENOVO-100E-CHARGING-PORT-REMOVAL,Charging Port Removal,15,,
N/A,,,,
REPAIR-LENOVO-100E-HPJ-REMOVAL,Headphone Jack Removal,15,,
N/A,,,,
REPAIR-LENOVO-100E-CABLE-RESEAT,Cable Reseat,15,,DO NOT PUT ON WEBSITE
N/A,,,,
,,,,
REPAIR-LENOVO-100S,Full Unit Repair for Lenovo 100S,,,
LENOVO-100S-DISPLAY-ASSEMBLY,Display Assembly,,,
REPAIR-LENOVO-100S-LCD,LCD Repair,15,,
5D10H11015,,,,
NT116WHM-N21,,,,
NT116WHM-N11,,,,
N116BGE-EA2REVC.3,,,,
B116XTN02.3-HW:2A/FW:0,,,,
REPAIR-LENOVO-100S-TOPCOVER,Topcover Repair,30,,
5CB0K11767,,,,
REPAIR-LENOVO-100S-BEZEL,Bezel Repair,15,,
5B30K11763,,,,
REPAIR-LENOVO-100S-HINGESET,Hinge Repair,30,,
5H50K11769,,,,
REPAIR-LENOVO-100S-LVDS,LVDS Cable Repair,30,,
5C10K11772,,,,
REPAIR-LENOVO-100S-CAMERA,Webcam Repair,15,,
5C20K11765,,,,
REPAIR-LENOVO-100S-CABLE-RESEAT,Cable Reseat,15,,
N/A,,,,
LENOVO-100S-TOPCASE-ASSEMBLY,Topcase Assembly,,,
REPAIR-LENOVO-100S-PALMREST,Palmrest Repair,30,,
5CB0K04630,,,,
REPAIR-LENOVO-100S-TRACKPAD,Trackpad Repair,30,,
5T60K11766,,,,
REPAIR-LENOVO-100S-SPEAKERS,Speaker Repair,15,,
5SB0K11764,,,,
REPAIR-LENOVO-100S-WIFI-CARD,Wifi Card Repair,30,,
20200552,,,,
REPAIR-LENOVO-100S-BATTERY,Battery Repair,30,,
5B10J46560,,,,
REPAIR-LENOVO-100S-DC-JACK,DC Jack Repair,30,,
5C10K11770,,,,
REPAIR-LENOVO-100S-USB-BOARD,I/O Board Repair,30,,
5C50K13759,,,,
REPAIR-LENOVO-100E-MISSING-KEY,Key Cap Replacement,15,,
N/A,,,,
REPAIR-LENOVO-100E-MOTHERBOARD,Motherboard Repair,30,,
N/A,,,,
REPAIR-LENOVO-100E-OS-RESTORE,Operating System Restore,30,,
N/A,,,,
REPAIR-LENOVO-100E-CHARGING-PORT-REMOVAL,Charging Port Removal,15,,
N/A,,,,
REPAIR-LENOVO-100E-HPJ-REMOVAL,Headphone Jack Removal,15,,
N/A,,,,
REPAIR-LENOVO-100E-CABLE-RESEAT,Cable Reseat,15,,
N/A,,,,
