Item,Description,Labor In Minutes
REPAIR-MICROSOFT-SURFACE-1516,Full Unit Repair for Microsoft Surface RT,
MICROSOFT-SURFACE-1516-DISPLAY-ASSEMBLY,Display Assembly,
REPAIR-MICROSOFT-SURFACE-1516-DISPLAY,Touchscreen Repair,60
MSSURFACERT-1516-FRONTASSY,,
MSSURFACERT-1516-FRONTASSEMBLY,,
REPAIR-MICROSOFT-SURFACE-1516-HPJ-REMOVAL,Headphone Jack Removal,15
N/A,,
REPAIR-MICROSOFT-SURFACE-1516-MOTHERBOARD,Motherboard Repair,60
N/A,,
,,
REPAIR-MICROSOFT-SURFACE-1572,Full Unit Repair for Microsoft Surface 2,
MICROSOFT-SURFACE-1572-DISPLAY-ASSEMBLY,Display Assembly,
REPAIR-MICROSOFT-SURFACE-1516-DISPLAY,Touchscreen Repair,60
MSSURFACE2-1572-FRONTASSY,,
REPAIR-MS-SURFACE-1572-HPJ-REMOVAL,Headphone Jack Removal,15
N/A,,
REPAIR-MS-SURFACE-1572-MOTHERBOARD,Motherboard Repair,60
N/A,,
,,
REPAIR-MICROSOFT-SURFACE-1645,Full Unit Repair for Microsoft Surface 3,
MICROSOFT-SURFACE-1645-DISPLAY-ASSEMBLY,Display Assembly,
REPAIR-MICROSOFT-SURFACE-1645-DISPLAY,Touchscreen Repair,60
MSSURFACE3-1645-FRONTASSY,,
X890657-008,,
REPAIR-MICROSOFT-SURFACE-1645-HPJ-REMOVAL,Headphone Jack Removal,15
N/A,,
REPAIR-MICROSOFT-SURFACE-1645-MOTHERBOARD,Motherboard Repair,60
N/A,,
,,
REPAIR-MICROSOFT-SURFACE-PRO-1514,Full Unit Repair for Microsoft Surface Pro,
MICROSOFT-SURFACE-PRO-1514-DISPLAY-ASSEMBLY,Display Assembly,
REPAIR-MICROSOFT-SURFACE-PRO-1514-DISPLAY,Touchscreen Repair,60
MSSURFACEPRO-1514-FRONTASSY,,
REPAIR-MICROSOFT-SURFACE-PRO-1514-HPJ-REMOVAL,Headphone Jack Removal,15
N/A,,
REPAIR-MICROSOFT-SURFACE-PRO-1514-MOTHERBOARD,Motherboard Repair,60
N/A,,
,,
REPAIR-MICROSOFT-SURFACE-PRO-1601,Full Unit Repair for Microsoft Surface Pro 2,
MICROSOFT-SURFACE-PRO-1601-DISPLAY-ASSEMBLY,Display Assembly,
REPAIR-MICROSOFT-SURFACE-PRO-1601-DISPLAY,Touchscreen Repair,60
MSSURFACEPRO2-1601-FRONTASSY,,
REPAIR-MICROSOFT-SURFACE-PRO-1601-HPJ-REMOVAL,Headphone Jack Removal,15
N/A,,
REPAIR-MICROSOFT-SURFACE-PRO-1601-MOTHERBOARD,Motherboard Repair,60
N/A,,
,,
REPAIR-MICROSOFT-SURFACE-PRO-1631,Full Unit Repair for Microsoft Surface Pro 3,
MICROSOFT-SURFACE-PRO-1601-DISPLAY-ASSEMBLY,Display Assembly,
REPAIR-MICROSOFT-SURFACE-PRO-1631-DISPLAY,Touchscreen Repair,60
MSSURFACEPRO3V1.1-1631-FRONTAS,,
 WSP301-V1.1,,
  LTL120QL01-003,,
REPAIR-MICROSOFT-SURFACE-PRO-1631-HPJ-REMOVAL,Headphone Jack Removal,15
N/A,,
REPAIR-MICROSOFT-SURFACE-PRO-1631-MOTHERBOARD,Motherboard Repair,60
N/A,,
REPAIR-MICROSOFT-SURFACE-PRO-1631-BATTERY,Battery Repair,60
MSSURFACEPRO3-BAT,,
,,
REPAIR-MICROSOFT-SURFACE-PRO-1724-DISPLAY,Full Unit Repair for Microsoft Surface Pro 4,
MICROSOFT-SURFACE-PRO-1724-DISPLAY-ASSEMBLY,Display Assembly,
REPAIR-MICROSOFT-SURFACE-PRO-1724-DISPLAY,Touchscreen Repair,60
MSSURFACEPRO4-FRONTASSY,,
MSSURFACEPRO4-1724-FRONTASSY,,
 MSURFPRO4-FRONT,,
X939849-005,,
LTL123YL01-001,,
  X939348-002,,
REPAIR-MICROSOFT-SURFACE-PRO-1724-HPJ-REMOVAL,Headphone Jack Removal,15
N/A,,
REPAIR-MICROSOFT-SURFACE-PRO-1724-MOTHERBOARD,Motherboard Repair,60
N/A,,
