Item,Description,Labor In Minutes
REPAIR-SAMSUNG-XE303C12,Full Unit Repair for Samsung XE303C12,
SAMSUNG-XE303C12-DISPLAY-ASSEMBLY,Display Assembly,
REPAIR-SAMSUNG-XE303C12-LCD,LCD Repair,15
NT116WHM-N10,,
N116BGE-L32REV.C2,,
 N116BGE-L32REVC.2,,
N116BGE-L32REVC.1,,
B116XW03V.1-HW:0B/FW:1,,
NT116WHM-N10-SAM,,
B116XW03V.1-HW:0B-FW:1,,
REPAIR-SAMSUNG-XE303X12-BEZEL,Bezel Repair,15
BA75-04167A,,
REPAIR-SAMSUNG-XE303C12-TOPCOVER,Topcover Repair,30
BA75-04169A,,
REPAIR-SAMSUNG-XE303C12-HINGECOVER,Hingecover Repair,15
BA75-HINGECOVER,,
REPAIR-SAMSUNG-XE303C12-CAMERA,Webcam Repair,15
  BA59-03387A,,
REPAIR-SAMSUNG-XE303C12-LVDS,LVDS Cable Repair,30
BA39-01262A,,
REPAIR-SAMSUNG-XE303C12-HINGE-L,Left Hinge Repair,30
BA61-01853A,,
REPAIR-SAMSUNG-XE303C12-HINGE-R,Right Hinge Repair,30
BA61-01854A,,
REPAIR-SAMSUNG-XE303C12-CABLE-RESEAT,Cable Reseat,15
N/A,,
SAMSUNG-XE303C12-TOPCASE-ASSEMBLY,Topcase Assembly,
REPAIR-SAMSUNG-XE303C12-PALMREST,Palmrest Repair,30
BA75-04170A,,
REPAIR-SAMSUNG-XE303C12-BOTTOMCOVER,Bottom Cover Repair,15
BA75-04168A,,
REPAIR-SAMSUNG-XE303C12-RUBBERFEET,Rubber Feet Replacement,15
BA75-RUBBERFEET,,
REPAIR-SAMSUNG-XE303C12-SD-DOOR,SD Door Repair,15
BA75-SSDCOVER,,
REPAIR-SAMSUNG-XE303C12-DC-JACK,DC Jack Repair,15
BA39-01263A,,
REPAIR-SAMSUNG-XE303C12-BATTERY,Battery Repair,30
BA43-00355A,,
AA-PBZN2TP,,
  BA43-00370A,,
REPAIR-SAMSUNG-XE303C12-MISSING-KEY,Key Cap Replacement,15
N/A,,
REPAIR-SAMSUNG-XE303C12-MOTHERBOARD,Motherboard Repair,30
N/A,,
REPAIR-SAMSUNG-XE303C12-OS-RESTORE,Operating System Restore,30
N/A,,
REPAIR-SAMSUNG-XE303C12-CHARGING-PORT-REMOVAL,Charging Port Removal,15
N/A,,
REPAIR-SAMSUNG-XE303C12-HPJ-REMOVAL,Headphone Jack Removal,15
N/A,,
REPAIR-SAMSUNG-XE303C12-CABLE-RESEAT,Cable Reseat,15
N/A,,
REPAIR-SAMSUNG-XE303C12-TRACKPAD-CABLE,Trackpad Cable Repair,15
BA41-02063A,,
REPAIR-SAMSUNG-XE303C12-WIFI-CARD,Wifi Card Repair,15
20-VM173-P3,,
REPAIR-SAMSUNG-XE303C12-3G-BOARD,3G Board Repair,15
BA92-11236A,,
REPAIR-SAMSUNG-XE303C12-TRACKPAD-COVER,Trackpad Cover Repair,30
XE303-TOUCHPADSTICKER,,
,,
REPAIR-SAMSUNG-XE500C12,Full Unit Repair for Samsung XE500C12,
SAMSUNG-XE500C12-DISPLAY-ASSEMBLY,Display Assembly,
REPAIR-SAMSUNG-XE500C12-LCD,LCD Repair,15
B116XTN01.0-HW:5A/FW:0,,
BA96-06947A,,
REPAIR-SAMSUNG-XE500C12-BEZEL,Bezel Repair,15
BA94-00033A,,
 BA98-00558A,,
REPAIR-SAMSUNG-XE500C12-TOPCOVER,Topcover Repair,30
BA97-07245A,,
 BA98-00557A,,
REPAIR-SAMSUNG-XE500C12-CAMERA-MIC,Webcam Repair,15
BA59-03975A,,
REPAIR-SAMSUNG-XE500C12-LVDS,LVDS Cable Repair,30
BA39-01366A,,
REPAIR-SAMSUNG-XE500C12-HINGE-L,Left Hinge Repair,30
BA98-00449A,,
REPAIR-SAMSUNG-XE500C12-HINGE-R,Right Hinge Repair,30
BA98-00450A,,
REPAIR-SAMSUNG-XE500C12-CABLE-RESEAT,Cable Reseat,15
N/A,,
SAMSUNG-XE500C12-TOPCASE-ASSEMBLY,Topcase Assembly,
REPAIR-SAMSUNG-XE500C12-PALMREST,Palmrest Repair,30
BA94-00039A,,
 BA98-00560A,,
REPAIR-SAMSUNG-XE500C12-BOTTOMCOVER,Bottom Cover Repair,15
BA97-07248A,,
BA98-00561A,,
REPAIR-SAMSUNG-XE500C12-BATTERY,Battery Repair,30
BA43-00370A,,
BA43-00355A,,
 AA-PBZN2TP,,
REPAIR-SAMSUNG-XE500C12-IO-BOARD,I/O Board Repair,15
BA92-14224A ,,
REPAIR-SAMSUNG-XE500C12-SPEAKER-L,Left Speaker Repair,15
BA96-06804A,,
REPAIR-SAMSUNG-XE500C12-SPEAKER-R,Right Speaker Repair,15
BA96-06804B,,
REPAIR-SAMSUNG-XE500C12-MISSING-KEY,Key Cap Repair,15
N/A,,
REPAIR-SAMSUNG-XE500C12-MOTHERBOARD,Motherboard Repair,30
N/A,,
REPAIR-SAMSUNG-XE500C12-OS-RESTORE,Operating System Restore,30
N/A,,
REPAIR-SAMSUNG-XE500C12-CHARGING-PORT-REMOVAL,Charging Port Removal,15
N/A,,
REPAIR-SAMSUNG-XE500C12-HPJ-REMOVAL,Headphone Jack Removal,15
N/A,,
REPAIR-SAMSUNG-XE500C12-CABLE-RESEAT,Cable Reseat,15
N/A,,
,,
REPAIR-SAMSUNG-XE500C13,Full Unit Repair for Samsung XE500C13,
SAMSUNG-XE500C13-DISPLAY-ASSEMBLY,Display Assembly,
SAMSUNG-XE500C13-LCD,LCD Cable Repair,15
NT116WHM-N21,,
NT116WHM-N11,,
N116BGE-EA2REVC.3,,
B116XTN02.3-HW:2A/FW:0,,
REPAIR-SAMSUNG-XE500C13-BEZEL,Bezel Repair,15
BA98-00751A,,
REPAIR-SAMSUNG-XE500C13-TOPCOVER,Topcover Repair,30
BA98-00601A,,
 BA94-00071A,,
REPAIR-SAMSUNG-XE500C13-CAMERA-MIC,Webcam Repair,15
BA96-06994A,,
REPAIR-SAMSUNG-XE500C13-LVDS,LVDS Cable Repair,30
BA39-01382A,,
REPAIR-SAMSUNG-XE500C13-HINGE-L,Left Hinge Repair,30
BA98-00611A,,
REPAIR-SAMSUNG-XE500C13-HINGE-R,Right Hinge Repair,30
BA98-00612A,,
REPAIR-SAMSUNG-XE500C13-CABLE-RESEAT,Cable Reseat,15
N/A,,
SAMSUNG-XE500C13-TOPCASE-ASSEMBLY,Topcase Assembly,
REPAIR-SAMSUNG-XE500C13-PALMREST,Palmrest Repair,30
BA98-00766A,,
BA98-00603A,,
BA94-00074A,,
REPAIR-SAMSUNG-XE500C13-BOTTOMCOVER,Bottom Cover Repair,15
BA98-00759A,,
BA94-00073A,,
REPAIR-SAMSUNG-XE500C13-BATTERY,Battery Repair,30
BA43-00373A,,
 AA-PBUN2TP,,
REPAIR-SAMSUNG-XE500C13-IO-BOARD,I/O Board Repair,15
BA92-15863A,,
REPAIR-SAMSUNG-XE500C13-SPEAKERS,Speaker Repair,15
BA96-06991A,,
REPAIR-SAMSUNG-XE500C13-MISSING-KEY,Key Cap Replacement,15
N/A,,
REPAIR-SAMSUNG-XE500C13-MOTHERBOARD,Motherboard Repair,30
N/A,,
REPAIR-SAMSUNG-XE500C13-OS-RESTORE,Operating System Restore,30
N/A,,
REPAIR-SAMSUNG-XE500C13-CHARGING-PORT-REMOVAL,Charging Port Removal,15
N/A,,
REPAIR-SAMSUNG-XE500C13-HPJ-REMOVAL,Headphone Jack Removal,15
N/A,,
REPAIR-SAMSUNG-XE500C13-CABLE-RESEAT,Cable Reseat,15
N/A,,
,,
REPAIR-SAMSUNG-XE500C21,Full Unit Repair for Samsung XE500C21,
SAMSUNG-XE500C21-DISPLAY-ASSEMBLY,Display Assembly,
REPAIR-SAMSUNG-XE500C21-LCD,LCD Repair,15
LTN121AT11-801,,
LTN121AT11-803,,
BA59-03012A,,
REPAIR-SAMSUNG-XE500C21-BEZEL,Bezel Repair,15
BA75-03051A,,
REPAIR-SAMSUNG-XE500C21-TOPCOVER,Topcover Repair,30
BA75-03190B,,
BA75-03624A,,
BA75-03190A,,
REPAIR-SAMSUNG-XE500C21-CAMERA-MIC,Webcam Repair,15
BA59-03018A,,
REPAIR-SAMSUNG-XE500C21-LVDS,LVDS Cable Repair,30
BA39-01068A,,
REPAIR-SAMSUNG-XE500C21-HINGE-L,Left Hinge Repair,30
BA61-01429A,,
REPAIR-SAMSUNG-XE500C21-HINGE-R,Right Hinge Repair,30
BA61-01430A,,
REPAIR-SAMSUNG-XE500C21-CABLE-RESEAT,Cable Reseat,15
N/A,,
SAMSUNG-XE500C21-TOPCASE-ASSEMBLY,Topcase Assembly,
REPAIR-SAMSUNG-XE500C21-PALMREST,Palmrest Repair,30
BA75-03065A,,
REPAIR-SAMSUNG-XE500C21-BOTTOMCOVER,Bottom Cover Repair,15
BA75-03052B,,
BA75-03196A,,
BA75-03533A,,
BA75-03196B,,
BA75-03052A,,
REPAIR-SAMSUNG-XE500C21-SD-READER,SD Card Reader Repair,15
BA92-07818A,,
REPAIR-SAMSUNG-XE500C21-IO-BOARD,I/O Board Repair,15
BA92-08331A,,
 BA41-01550A,,
BA92-08331B,,
REPAIR-SAMSUNG-XE500C21-SSD,SSD Repair,30
BA59-03054A,,
 SDSA4DH-016G,,
REPAIR-SAMSUNG-XE500C21-WIFI-CARD,Wifi Card Repair,15
BA42-00311A,,
REPAIR-SAMSUNG-XE500C21-BATTERY,Battery Repair,30
BA43-00306A,,
BA92-09334A,,
BA92-08315A,,
,,
 BA92-08314A,,
REPAIR-SAMSUNG-XE500C21-MISSING-KEY,Key Cap Replacement,15
N/A,,
REPAIR-SAMSUNG-XE500C21-MOTHERBOARD,Motherboard Repair,30
N/A,,
REPAIR-SAMSUNG-XE500C21-OS-RESTORE,Operating System Restore,30
N/A,,
REPAIR-SAMSUNG-XE500C21-CHARGING-PORT-REMOVAL,Charging Port Removal,15
N/A,,
REPAIR-SAMSUNG-XE500C21-HPJ-REMOVAL,Headphone Jack Removal,15
N/A,,
REPAIR-SAMSUNG-XE500C21-CABLE-RESEAT,Cable Reseat,15
N/A,,
,,
REPAIR-SAMSUNG-XE503C12,Full Unit Repair for Samsung XE503C12,
SAMSUNG-XE503C12-DISPLAY-ASSEMBLY,Display Assembly,
REPAIR-SAMSUNG-XE503C12-LCD,LCD Repair,15
NT116WHM-N10,,
N116BGE-L32REV.C2,,
 N116BGE-L32REVC.2,,
N116BGE-L32REVC.1,,
B116XW03V.1-HW:0B/FW:1,,
NT116WHM-N10-SAM,,
B116XW03V.1-HW:0B-FW:1,,
REPAIR-SAMSUNG-XE503C12-BEZEL,Bezel Repair,15
BA98-00265A,,
REPAIR-SAMSUNG-XE503C12-TOPCOVER,Topcover Repair,30
BA98-00264A,,
BA97-07005A,,
REPAIR-SAMSUNG-XE503C12-CAMERA,Webcam Repair,15
BA59-03837A,,
