Item,Description,Labor In Minutes
REPAIR-TOSHIBA-CB35-A,Full Unit Repair for Toshiba CB35-A,
TOSHIBA-CB35-A-DISPLAY-ASSEMBLY,Display Assembly,
REPAIR-TOSHIBA-CB35-A-LCD,LCD Repair,15
B133XW01V.0-HW:0A/FW:1,,
B133XW02V.0-HW:0A/FW:1,,
LTN133AT27-T01,,
 N133BGE-L41-REV.C1,,
B133XW03V.4-HW:0A/FW:1,,
REPAIR-TOSHIBA-CB35-A-BEZEL,Bezel Repair,15
A000286360,,
REPAIR-TOSHIBA-CB35-A-TOPCOVER,Topcover Repair,30
A000286350,,
REPAIR-TOSHIBA-CB35-A-HINGESET,Hinge Repair,30
CB35-A-HINGESET,,
REPAIR-TOSHIBA-CB35-A-LVDS,LVDS Cable Repair,30
A000286630,,
 DD0BU9LC110,,
REPAIR-TOSHIBA-CB35-A-CAMERA,Webcam Repair,15
A000286460,,
REPAIR-TOSHIBA-CB35-A-CABLE-RESEAT,Cable Reseat,15
N/A,,
TOSHIBA-CB35-A-TOPCASE-ASSEMBLY,Topcase Assembly,
REPAIR-TOSHIBA-CB35-A-PALMREST,Palmrest Repair,30
A000286520,,
 A000286380,,
REPAIR-TOSHIBA-CB35-A-BOTTOMCASE,Bottomcase Repair,15
A000286310,,
REPAIR-TOSHIBA-CB35-A-WIFI-CARD,Wifi Card Repair,15
28E347F56713,,
AR5B22,,
REPAIR-TOSHIBA-CB35-A-SPEAKERS,Speaker Repair,15
A000286580,,
REPAIR-TOSHIBA-CB35-A-BATTERY,Battery Repair,30
P000590550,,
PA5171U-1BRS,,
REPAIR-TOSHIBA-CB35-A-MISSING-KEY,Key Cap Replacement,15
N/A,,
REPAIR-TOSHIBA-CB35-A-OS-RESTORE,Operating System Restore,30
N/A,,
REPAIR-TOSHIBA-CB35-A-CHARGING-PORT-REMOVAL,Charging Port Removal,15
N/A,,
REPAIR-TOSHIBA-CB35-A-HPJ-REMOVAL,Headphone Jack Removal,15
N/A,,
REPAIR-TOSHIBA-CB35-A-CABLE-RESEAT,Cable Reseat,15
N/A,,
REPAIR-TOSHIBA-CB35-A-MOTHERBOARD,Motherboard Repair,30
N/A,,
,,
REPAIR-TOSHIBA-CB35-B,Full Unit Repair for Toshiba CB35-B,
TOSHIBA-CB35-B-DISPLAY-ASSEMBLY,Display Assembly,
REPAIR-TOSHIBA-CB35-B-LCD,LCD Cable Repair,15
HB133WX1-402VER3.2,,
 B133XTN01.6-HW:2A/FW:1,,
HB133WX1-402VER3.1,,
 M133NWN1.R3-HW:4.C-FW:0.1,,
KL.13305.019,,
REPAIR-TOSHIBA-CB35-B-BEZEL,Bezel Repair,15
A000380120,,
REPAIR-TOSHIBA-CB35-B-TOPCOVER,Topcover Repair,30
A000380100,,
REPAIR-TOSHIBA-CB35-B-LVDS,LVDS Cable Repair,30
DD0BUHLC000,,
 DD0BUHLC020,,
REPAIR-TOSHIBA-CB35-B-HINGESET,Hinge Repair,30
CB35-B-HINGESET,,
REPAIR-TOSHIBA-CB35-B-CABLE-RESEAT,Cable Reseat,15
N/A,,
TOSHIBA-CB35-B-TOPCASE-ASSEMBLY,Topcase Assembly,
REPAIR-TOSHIBA-CB35-B-PALMREST,Palmrest Repair,30
A000380170 ,,
REPAIR-TOSHIBA-CB35-B-TRACKPAD,Trackpad Repair,15
A000380430 ,,
REPAIR-TOSHIBA-CB35-B-BOTTOMCOVER,Bottom Cover Repair,15
A000380050,,
REPAIR-TOSHIBA-CB35-B-BATTERY,Battery Repair,30
P000619700,,
PA5208U-1BRS,,
 P000645710,,
P000619710,,
P000645700,,
 P000645720,,
REPAIR-TOSHIBA-CB35-B-WIFI-CARD,Wifi Card Repair,15
PA5125U-1MPC,,
A000295260,,
REPAIR-TOSHIBA-CB35-B-IO-BOARD,I/O Board Repair,15
3ZBUHCB0000,,
DA0BUHTH6D0,,
REPAIR-TOSHIBA-CB35-B-MISSING-KEY,Key Cap Replacement,15
N/A,,
REPAIR-TOSHIBA-CB35-B-OS-RESTORE,Operating System Restore,30
N/A,,
REPAIR-TOSHIBA-CB35-B-CHARGING-PORT-REMOVAL,Charging Port Removal,15
N/A,,
REPAIR-TOSHIBA-CB35-B-HPJ-REMOVAL,Headphone Jack Removal,15
N/A,,
REPAIR-TOSHIBA-CB35-B-CABLE-RESEAT,Cable Reseat,15
N/A,,
REPAIR-TOSHIBA-CB35-B-MOTHERBOARD,Motherboard Repair,30
N/A,,
,,
REPAIR-TOSHIBA-CB30-A,Full Unit Repair for Toshiba CB30-A,
TOSHIBA-CB30-A-DISPLAY-ASSEMBLY,Display Assembly,
REPAIR-TOSHIBA-CB30-A-LCD,LCD Repair,15
LP133WH2-TLE1,,
LP133WH2-TLF2,,
A000208370,,
B133XW01V.0-HW:0A/FW:1,,
B133XW03V.4-HW:0A/FW:1,,
REPAIR-TOSHIBA-CB30-A-BEZEL,Bezel Repair,15
A000286360,,
REPAIR-TOSHIBA-CB30-A-TOPCOVER,Topcover Repair,30
A000286350,,
REPAIR-TOSHIBA-CB30-A-CAMERA,Webcam Repair,15
A000286460,,
REPAIR-TOSHIBA-CB30-A-LVDS,LVDS Cable Repair,30
A000286630,,
REPAIR-TOSHIBA-CB30-A-HINGESET,Hinge Repair,30
CB35-A-HINGESET,,
REPAIR-TOSHIBA-CB30-A-CABLE-RESEAT,Cable Reseat,
N/A,,
TOSHIBA-CB30-A-TOPCASE-ASSEMBLY,Topcase Assembly,
REPAIR-TOSHIBA-CB30-A-PALMREST,Palmrest Repair,30
A000286520,,
REPAIR-TOSHIBA-CB30-A-BATTERY,Battery Repair,30
P000590550,,
REPAIR-TOSHIBA-CB30-A-BOTTOMCOVER,Bottom Cover Repair,15
A000286310,,
REPAIR-TOSHIBA-CB30-A-DC-JACK,DC Jack Repair,15
SIQDD0BU9AD000,,
REPAIR-TOSHIBA-CB30-A-MISSING-KEY,Key Cap Replacement,15
N/A,,
REPAIR-TOSHIBA-CB30-A-OS-RESTORE,Operating System Restore,30
N/A,,
REPAIR-TOSHIBA-CB30-A-CHARGING-PORT-REMOVAL,Charging Port Removal,15
N/A,,
REPAIR-TOSHIBA-CB30-A-HPJ-REMOVAL,Headphone Jack Removal,15
N/A,,
REPAIR-TOSHIBA-CB30-A-CABLE-RESEAT,Cable Reseat,15
N/A,,
REPAIR-TOSHIBA-CB30-A-MOTHERBOARD,Motherboard Repair,30
N/A,,
REPAIR-TOSHIBA-CB30-A-SPEAKERS,Speaker Repair,15
3VBU9SA0100,,
REPAIR-TOSHIBA-CB30-A-WIFI-CARD,,15
AR5B22,,
,,
REPAIR-TOSHIBA-CB30-B,Full Unit Repair for Toshiba CB30-B,
TOSHIBA-CB30-B-DISPLAY-ASSEMBLY,Display Assembly,
REPAIR-TOSHIBA-CB30-B-LCD,LCD Repair,15
P000628120,,
LP133WF2-SPA1,,
REPAIR-TOSHIBA-CB30-B-LVDS,LVDS Cable Repair,30
DD0BUHLC000,,
REPAIR-TOSHIBA-CB30-B-HINGESET,Hinge Repair,30
CB35-B-HINGESET,,
REPAIR-TOSHIBA-CB30-B-BEZEL,Bezel Repair,15
A000380120,,
REPAIR-TOSHIBA-CB30-B-TOPCOVER,Topcover Repair,30
A000380100 ,,
REPAIR-TOSHIBA-CB30-B-CABLE-RESEAT,Cable Reseat,15
N/A,,
TOSHIBA-CB30-B-TOPCASE-ASSEMBLY,Topcase Assembly,
REPAIR-TOSHIBA-CB30-B-PALMREST,Palmrest Repair,30
A000380170,,
REPAIR-TOSHIBA-CB30-B-BOTTOMCOVER,Bottom Cover Repair,15
A000380050,,
REPAIR-TOSHIBA-CB30-B-BATTERY,Battery Repair,30
P000619700,,
REPAIR-TOSHIBA-CB30-B-WIFI-CARD,Wifi Card Repair,15
PA5125U-1MPC,,
REPAIR-TOSHIBA-CB30-B-DC-JACK,DC Jack Repair,15
A000380370,,
REPAIR-TOSHIBA-CB30-B-SPEAKERS,Speaker Repair,15
3VBUHSA0I00,,
REPAIR-TOSHIBA-CB30-B-IO-BOARD,I/O Board Repair,15
3ZBUHCB0000,,
A000380360,,
REPAIR-TOSHIBA-CB30-B-TRACKPAD,Trackpad Repair,15
A000380430,,
REPAIR-TOSHIBA-CB30-B-MISSING-KEY,Key Cap Replacement,15
N/A,,
REPAIR-TOSHIBA-CB30-B-OS-RESTORE,Operating System Restore,30
N/A,,
REPAIR-TOSHIBA-CB30-B-CHARGING-PORT-REMOVAL,Charging Port Removal,15
N/A,,
REPAIR-TOSHIBA-CB30-B-HPJ-REMOVAL,Headphone Jack Removal,15
N/A,,
REPAIR-TOSHIBA-CB30-B-CABLE-RESEAT,Cable Reseat,15
N/A,,
REPAIR-TOSHIBA-CB30-B-MOTHERBOARD,Motherboard Repair,30
N/A,,
