part_number,cyma_count,physical_count
005T5,1,1
00HW232,1,0
01HY405,1,1
0B200-01990100,1,0
0D2DT,6,3
0D2DT-X,8,0
0P37K,5,5
0YFYX,2,2
11-AIR-BOTTOM-PLATE,6,5
1282-308,5,0
1284-308,10,0
13MBP-RET-ASSEMBLY-2015-B,2,2
13MBR-ASSEMBLY-2016-17-SG-B-Q,2,1
13MBR-ASSEMBLY-2018-19-SG-B-Q,7,0
13NX00Y2P05013,1,0
15MBP-RET-ASSEMBLY-2013-14-B-R,1,0
15MBP-RET-ASSEMBLY-2015-A-,1,0
15MBR-ASSEMBLY-2016-17-S-B,1,0
15MBR-ASSEMBLY-2016-17-SG-C,1,0
2F43F,2,0
33.G15N7.001,1,0
33.GM9N7.001,3,3
33.GM9N7.002,2,2
34YFY,8,7
35NL7LBV10,1,0
37NL6TC0040,3,5
3CP5R,1,0
3CP5R-WITHLVDS/HINGES,5,4
42.EF2N7.001,6,6
45GHC,4,3
500GBSL,6,1
51KD7,23,15
55.GC2N5.002,1,1
56JWV-WITHLVDS/HINGES,5,5
589-9065-HC,3,0
589-9085-HC,12,0
589-9201-HC,1,1
589-9203-HC,2,0
589-9223-HC,3,3
5A50Q94004,8,6
5A50Y95951,8,3
5B10X65680,9,9
5B20U26505-EXCHANGE,3,2
5C10H71607,3,3
5C10L16464,12,0
5C10L85362,3,0
5C10L85363,10,11
5C10M14090,1,0
5C10Q79748,11,11
5C10T70712,1,0
5C10T70808,5,1
5C10T70886,10,10
5C10U26496,9,6
5C18C07636,3,0
5C20H70344,1,0
5C20L13236,1,0
5C50S73017,1,1
5C50T70714-WITHOUTCABLES,1,1
5CB0L02103,5,3
5CB0L13233,1,1
5CB0L13240,10,8
5CB0L85353,9,9
5CB0L85353-NOHS/WIFICABLE,1,0
5CB0L85364,2,0
5CB0L85364-NOTOUCHPAD,3,2
5CB0Q94001,1,0
5CB0Q94003,4,7
5CB0R07036,9,7
5CB0S95224,1,0
5CB0S95225,1,0
5CB0T70888,11,10
5CB0X55485,4,3
5CB0Z21474,15,13
5CB0Z21541,1,0
5D10L56354,23,7
5D10L60142,1,1
5D10Q79736-NOEMR,6,6
5D10Q93993,34,0
5D10S75184,4,1
5D10T34443-NOEMR,10,0
5D10T44444,2,2
5D10T79505,2,0
5D10T95195,21,1
5D10U89043,20,20
5D10Y97713,34,20
5D68C09575,4,6
5H50L13241,2,2
5H50Q79755,5,5
5H50S73127,1,0
5H50T45066,4,0
5H50T95189,7,7
5HR53,2,2
5MO8C07632,4,0
5O28C07725,2,2
5S58C07634,5,4
5S58C07635,7,7
5SB0L85356,1,0
5SB0N00715,1,2
5SR8C07631,2,2
5T58C07633,3,3
5XVF4,3,0
5XVF4-X,6,6
60.GM9N7.001,3,2
60.GM9N7.003,1,1
60.SHEN7.006,1,0
661-02346,1,0
661-02361-NB-NR,5,4
661-02370,8,0
661-02396,5,4
661-02535,1,0
661-05111,1,0
661-05333,1,1
661-06378,1,1
661-07946,4,2
661-07947,1,0
661-09736,1,1
661-11906,1,0
661-11908,5,4
661-15386,2,0
661-15392,5,0
661-15393,1,0
661-6532-NB,2,1
661-6595,2,0
661-6635,36,1
661-7456,3,1
661-7465,3,0
661-7473,9,0
661-7473-RS,9,8
661-7480,19,0
6C2J6,14,11
6G01-PLUS,36,0
6G07-PLUS,9,9
6G08-PLUS,5,5
6HNM6,1,1
6S01W-PLUS,1,5
756761-037,5,1
784191-001,4,0
784645-005,1,0
788503-001,1,1
788639-001,2,1
788639-001-XX,2,0
794732-001,2,2
798C5-NOANTENNA/LEDBOARD,1,0
799735-F51-X,1,0
799735-S51,44,35
799735-Y51,16,0
820-2565-A,1,0
820-3196-A,5,1
821-00184-A,22,15
821-00578-A,8,10
821-01002-01,7,1
821-01011-A,2,0
821-01063-A,1,0
821-02721-04,10,8
821-1748-A,13,8
834906-001,14,0
834912-001,2,2
851133-001-NOPADS/BRACKETS,1,8
851145-001,8,7
855710-001,17,0
859357-855,68,41
860883-001,6,6
8G01W-PLUS-SP,34,4
8G07-PLUS,22,11
8G08W-PLUS,9,6
900042-001,4,0
900042-001-HS,3,0
900812-001,9,3
900814-001-X,49,11
900818-001,25,12
901284-001,22,10
901788-001,13,4
902764-001,2,0
90NX02A1-R31US0,4,4
917428-001,9,0
917430-001,23,25
917431-001,5,3
917437-001,4,3
917442-001,15,10
917442-001-NOTOUCHPAD,2,2
917495-001-EXCHANGE,1,0
917725-855,3,0
918669-855,2,1
920842-001,1,0
920842-001-X,39,31
922-9308,1,1
922-9643,4,4
922-9963,1,0
922797-001,4,0
923-00536,1,1
923-01173,1,0
923-0124,1,1
923-0125,10,6
923-0126,5,5
923-0127,2,2
923-0128,5,3
923-01288,2,2
923-01448,6,3
923-02813,10,6
923-03933,1,0
923-03995,3,1
923-0429,12,7
923-0430,58,21
923-0431,35,11
923-0432,20,22
923-0433,5,5
923-0434,18,8
923-0435,25,15
923-0438,20,5
923-0439,13,3
923-0440,48,12
923-0441,8,5
927658-001,39,25
928082-001,15,15
928083-001,17,14
928087-001,7,6
928088-001,1,1
928588-001-NOPCB,31,18
929337-001,2,0
9F21D,9,0
9MJG6,5,5
9X8D7,2,0
A1322,6,2
A1465-LVDS-CABLE,19,13
A1466-LVDS-CABLE,18,15
A1495,27,16
A1502-2015-TP,3,0
A1582,11,12
A1618,1,0
A1713,13,9
A1965,2,2
A2171,5,5
A2179-TP-BC,2,0
A2337-KB-SG,3,1
A2337-LCD,42,21
A2337-RS,1,0
A2337-TP,1,0
A2338-LCD,18,18
A2389,4,4
AC-C720-DCIN,11,8
AG-100EG1-MB01EX,1,0
AG-100EG1-US00R,6,3
AG-100EG2MTK-HG00,16,16
AG-100EG2MTK-MB02,2,1
AG-100EG2MTK-MB02EX,2,0
AG-100EG2MTK-PW00,5,5
AG-11AG6EE-HG00,1,1
AG-11AG8EE-LB00R,4,0
AG-11AG8EE-MB01EX,1,1
AG-11EG1YOGA-LC00R,1,1
AG-11G3-BC00R,3,0
AG-11G3-BT00,1,0
AG-11G3-DC00,9,4
AG-11G3-MB00,1,1
AG-11G4-CM00R,5,5
AG-11G4EE-BT00,2,2
AG-11G4EE-CL00R,5,5
AG-11G5-CT00,20,0
AG-11G5-DC00,17,0
AG-11G5-HG00,3,4
AG-11G5-LB00R,37,37
AG-11G5-TC00R,8,8
AG-11G5-US00,10,9
AG-11G5EE-DC00,3,0
AG-11G5EE-MB01EX,4,0
AG-11G5EE-SP00,6,4
AG-11G6EE-BT00,5,3
AG-11G6EE-CL00R,2,1
AG-11G6EE-CM00,3,0
AG-11G6EE-LB00R,9,8
AG-11G6EE-MB01,2,0
AG-11G6EE-MB01EX,1,1
AG-11G6EE-PR01,1,0
AG-11G6EE-TP00,9,9
AG-11G6EE-US00,31,31
AG-11G7EE-SP00,1,1
AG-11G7EE-US00,1,1
AG-11G8EE-BC00,10,9
AG-11G8EE-CM00,10,12
AG-11G8EE-HG00,1,1
AG-11G8EE-MB01,1,0
AG-11G8EE-US00,1,1
AG-14E-LB00R,20,20
AG-14G4-PR00R,10,10
AG-14G5-PR00,5,5
AG-14G5T-LC00R,2,1
AG-300EG1T-TC00,7,6
AG-300EG2T-HC00,9,7
AG-3100-MB02EX,1,0
AG-3100-US00,5,5
AG-3100T-CL00R,11,9
AG-3100T-HG00,1,0
AG-3100T-HG01,1,0
AG-3120-BT00,5,3
AG-3120-CL00R,5,5
AG-3120-HG00,6,0
AG-3120-MB01,1,0
AG-3120-US00,4,4
AG-3120T-LB00,1,0
AG-3180-AB00,1,1
AG-3180-CB00,6,5
AG-3180-DC00,17,32
AG-3180-HC00,9,0
AG-3180-HG00,6,6
AG-3180-KB00,9,6
AG-3180-MB01,1,0
AG-3180-TC00R,7,7
AG-3189-AB00,4,4
AG-3189-BT00,2,1
AG-3189-LC01R,12,0
AG-3189-LC02R,1,0
AG-51902IN1-CB00,5,0
AG-C204EE-BT00,5,5
AG-C720-BT00,4,4
AG-C720-PR00RC,12,12
AG-C720P-LC00RC,1,1
AG-C731T-LC00RC,20,19
AG-CB1C13-LB00R,19,19
AG-N22-BT00,3,0
AG-N22-MB00EX,1,0
AG-N22-MB01,2,0
AG-N22-TC00,1,1
AG-N22T-MB01EX,2,0
AG-N23-BT00,1,0
AG-N23-CL00,6,5
AG-N23-CM00,1,1
AG-N23YOGA-PR01R,11,6
AG-N42-CM00R,10,4
AG-N42T-LC00R,2,0
AG-X36011G1-CT00,1,0
AG-X36011G1EE-BC00R,9,7
AG-X36011G1EE-CT00,2,0
AG-X36011G1EE-HG00,1,0
AG-X36011G1EE-MB01EX,1,0
AG-X36011G1EE-TC00,9,4
AG-X36011G1EE-TP00,1,0
AG-XE500C12-BT00,18,18
AG-XE500C12-CM00R,1,1
AG-XE500C12-HG00,3,3
AG-XE500C12-LC00,5,0
AG-XE500C12-PR00R,5,5
AG-XE500C12-TC00R,2,2
AG-XE500C13-BC00R,1,1
AG-XE500C13-BT00,7,5
AIPA201-HB-HC,1,0
AIPA201-NA,1,0
AIPA401-HB-HC,120,120
AIPA601-HC,5,0
AIPAA01-HB-HC,22,0
AIPAA01-NA,4,0
AIPAA02-HB-HC,5,0
AIPAA02-HC,7,0
AIPAA201-HC-LCD,21,0
AIPAM02-HB-IC,12,4
AIPAM301-HC-IC,19,9
AIPAM302-HC-IC,3,3
B080XAN01.0,7,7
B116XAK01.0-HW:2A/FW:1,1,0
B116XAK01.1-HW:0A/FW:0-HP11G5E,2,0
B116XAK01.1-HW:2A/FW:0-HP11G5E,1,0
B116XAK01.1-HW:3A/FW:0,1,0
B116XAK01.1-HW:3A/FW:0-HP11G5E,2,0
B116XAK01.1-HW:4A/FW:0,3,0
B116XTN02.3-HW:0A/FW:0,1,0
B116XTN02.3-HW:5A/FW:0,36,0
B116XW05V.001,21,4
B140HAN02.6-HW:0A-FW:1,1,0
B140XW01V.9-HW:6A/FW:1,2,2
BA43-00355A,1,0
BA75-04167A,1,0
BA75-04168A,1,0
BA75-04169A,2,2
BA92-14399A,4,3
BA92-15863A,4,5
BA94-00033A,1,0
BA96-06994A,2,1
BA98-00264A,3,0
BA98-00266A,1,0
