part_number,count,loaction_desc
661-5867,2,200207
661-02457,1,200207
821-00184-A,15,200207
661-6535,2,200207
821-1748-A,8,200207
922-9308,1,200207
922-9643,4,200207
923-00518,1,200207
923-00536,1,200207
923-0096,5,200207
923-0124,1,200207
923-0128,3,200207
923-0557,1,200207
A1502-2015-A,2,200207
42.EF2N7.001,6,200207
5C10H71607,3,200207
5SB0N00715,2,200207
5C18C07636,1,100401
00HW2332,1,200206
500GBSL,1,200206
PHXNH,4,200206
DD0ZM7LC010,3,200206
9MJG6,5,200206
PD4H4,2,200206
IPAAWIFI,2,200206
X4PJK,7,100204
90NL0971-R31US0,2,200206
NT116WHM-N10,3,200206
32YF6,1,200205
60.GM9N7.001,2,200205
CK4ND,10,200205
AG-CB1C13-LB00R,19,200205
56JWV,1,200205
56JWV-WITHLVDS/HINGES,5,200205
AG-14G5-PR00,5,200204
851145-001,7,200204
788503-001,1,200203
784191-001,4,100302
834906-001,14,100302
L14329-001,4,200203
AG-N22-TC00,1,200202
5S58C07635,7,200202
5S58C07634,4,200202
5D10Q93993,6,100402
5D68C09575,6,200202
5CB0L02103,3,200202
37NL6TC0040,5,200202
LTN133AT09,2,200201
661-6532-NB,1,200201
005T5,1,200204
661-07946,2,100102
661-7480,5,100103
13MBR-ASSEMBLY-2018-19-SG-B,4,300105
661-02370,0,100104
661-02396,4,100104
923-0125,6,100104
923-03995,1,100104
923-0429,7,100104
923-0430,21,100104
923-0431,11,100104
923-0432,22,100104
923-0433,5,100104
923-0434,8,100104
923-0435,15,100104
923-0438,5,100104
923-0439,3,100104
923-0440,12,100104
923-0441,5,100104
A1466-LVDS-CABLE,15,100104
A1465-LVDS-CABLE,13,100104
661-7465,0,100104
821-1749-A,1,100104
MBA-A1465-WIFI-2013,1,100104
821-1721-A,0,100104
661-06378,1,100103
661-09736,1,100104
661-7473-RS,8,100103
661-02361-NB-NR,4,100103
661-7480,0,100103
661-05333,1,100103
923-0126,5,100103
MBA-A1466-WIFICAM-2013,24,100103
MBA-1370-1465-HINGE-CLUTCH-COV,22,100103
11-AIR-BOTTOM-PLATE,5,100102
AG-11G4EE-BT00,2,200204
A1965,2,100102
A1713,9,100101
A1405,0,100102
A1495,16,100101
A1582,12,100101
F2M02-RECL,1,100204
R36YR,12,100204
PP99H,9,100204
3CP5R-WITHLVDS/HINGES,4,100204
YJDF3,1,100204
34YFY,7,100204
AG-3180-TC00R,7,100204
XRY9G,9,100203
WFFTC,14,100203
0P37K,5,100203
W3TXP,0,100203
5D10T34443-NOEMR,8,100403
VK0VC,1,100203
TK87M,0,100203
0D2DT-X,0,100203
AG-3180-KB00,6,100203
AG-3189-LC01R,0,100202
45GHC,3,100202
NT116WHM-A22,23,100202
2RY30,0,100202
YK5CX,6,100202
XYYH3,3,100202
6C2J6,11,100202
51KD7,15,100201
JPFMR,2,100201
AG-3120-BT00,3,100201
AG-3189-BT00,1,100201
AG-3120-US00,4,100201
5C10L16464,9,100401
F08KG-3180,1,100201
XNJ46,2,100204
AG-3180-DC00,32,100204
DELL11-3120-GEN2-TP-CABLE,5,100201
RJR6J,0,100201
D11G1-HINGECOVER,4,100201
AG-3120-CL00R,5,100201
P1NX2,2,100201
64NM6,0,100201
AG-3100T-CL00R,9,100201
KR36P,3,100201
AG-3180-HG00,6,100204
AG-3180-AB00,1,100204
X4PJK,0,100201
AG-3180-HC00,0,100201
AG-3120-HG00,0,100201
AG-X36011G1EE-TC00,4,100303
L89771-001,16,100304
901788-001,4,100304
AG-11G5-TC00R,8,100304
AG-11G5-LB00R,37,100304
L89773-001,9,100304
AG-11G6EE-LB00R,8,100304
917430-001,25,100304
928588-001-NOPCB,18,100303
917442-001,10,100303
AG-14G4-PR00R,10,100303
900818-001,12,100303
788639-001,1,100303
L14355-001-WITHPANDCABLE,0,100303
L90338-001,7,100303
851133,0,100302
B116XAK01.1-HW:4A/FW:0,0,100302
AG-X36011G1EE-BC00R,7,100302
AG-11G8EE-BC00,9,100302
784191-001,0,100302
L92818-001,16,100302
L89769-001,33,100302
901284-001,10,100302
834906-001,0,100302
917725-855,0,100301
AG-11G6EE-BT00,3,100301
L75783-005,6,100301
859357-855,41,100301
L14908-001,24,100304
L52572-001,11,100301
928083-001,14,100301
AG-11G5-US00,9,100301
L14338-001,8,100301
900812-001,3,100301
AG-11G4EE-CL00R,5,100301
DD0Y07LC020,1,100301
917432-001,0,100301
DD00G1LC022,2,100301
DDNL6ULC001,2,100301
L14915-001-X,10,100301
922797-001,0,100301
AG-11G3-DC00,4,100301
860883-001,6,100301
834912-001,2,100301
AG-11G6EE-CM00,0,100301
799735-551,0,100301
L14356-001,5,100301
AG-11G4-CM00R,5,100301
917437-001,3,100301
900814-001-X,11,100301
AG-11G5EE-SP00,4,100301
AG-11AG6EE-HG00,1,100401
AG-11G8EE-HG00,1,100301
AG-11G5-HG00,4,100301
928087-001,6,100301
5H50T45066,4,100401
AG-11G3-BT00,0,100301
AG-X36011G1EE-CT00,0,100301
HP11-G5EE-TP-CABLE,0,100301
920842-001-X,31,100301
756761-037,1,100301
0B200-01990100,0,100405
AG-C720P-LC00R,0,100405
AG-C720-PR00RC,12,100403
BA75-04169A,2,100404
AG-XE500C12-TC00R,2,100404
BA98-00264A,0,100404
AG-XE500C12-BC00R,0,100404
90NX02A1-R31US0,4,100404
AG-XE500C12-PR00R,5,100404
BA98-00603A,19,100404
AG-11G5-DC00,0,100403
5CB0R07036,7,100403
5CB0L13240,8,100403
5CB0Z21474,13,100403
5CB0X55485,3,100403
5CB0L85353,9,100403
5D10Q93993,0,100403
5D10T34443-NOEMR,0,100403
N140BGA-EA4REV.C2,4,100402
N140BGA-EA3REV.C1,5,100402
N116BCN-EB1-REV.C3-HP11G5E,3,100402
N116BCN-EB1-REV.C3,0,100402
B116XAK01.1-HW:3A/FW:0,0,100402
N116BGE-EA2REVC.2,0,100402
B116XAK01.1-HW:4A/FW:0,0,100402
AG-C731T-LC00RC,19,100402
LP116WH8-SPC2-D,16,100402
5D10Q79736-NOEMR,6,100402
5T58C07633,3,100401
5C10L16464,0,100401
AG-N23-CM00,1,100401
AG-XE500C12-CM00R,1,100401
BA96-06994A,1,100401
SB10W67164,15,100401
AG-N22-BT00,0,100401
AG-C720-BT00,4,100401
5B10X65680,9,100401
AG-XE500C13-BT00,5,100401
AG-XE500C12-BT00,18,100401
AG-C204EE-BT00,5,100401
33.GM9N7.001,3,100401
5SR8C07631,2,100401
5H50Q79755,5,100401
BA98-00450A,2,100401
AG-XE-500C12-HG00,0,100401
5H50T45066,0,100401
33.G15N7.001,0,100401
33.GM9N7.002,2,100401
BA98-00449A,1,100401
5H50Q93990,0,100401
5H50L13241,2,100401
5H50T95189,7,100401
CBLVN23YMSC2BLK,0,100401
5CB0Q94003,7,100401
5A50Y95951,3,100401
5A50Q94004,6,100401
AG-C720-DCIN,0,100401
AG-100EG1-US00R,3,100401
55.GC2N5.002,1,100401
BA92-14399A,3,100401
AG-100EG1-US00,1,100401
BA92-15863A,5,100401
5C10T70886,10,100401
5C10L85363,11,100401
5C18C07636,0,100401
AG-N23-CL00,5,100401
5C10Q79748,11,100401
5C10L85362,0,100401
5C10T70808,1,100401
5C10U26496,6,100401
LP133-WQ4-SJA-1,0,200303
A2338-LCD,18,300102
NT133WGB-NB1,0,300101
13MBR-ASSEMBLY-2016-17SG,0,200302
13MBR-ASSEMBLY-2016-17-SG-B-Q,1,300105
B116XW05V.001,4,300101
13MBR-RET-ASSEMBLY-2015-B,0,200301
AG-14E-LB00R,20,100304
L14921-001,1,100303
5XVF4-X,6,100203
AG-100EG2MTK-BT00,0,100401
AG-N42-CM00R,4,100401
DDNL6ULC012,10,100301
AG-300EG2T-HC00,7,100401
AG-11G6EE-PR01,0,100303
5CB0T70888,10,100404
5D10S75184,1,100402
AG-3180-CB00,5,100201
AG-11G6EE-TP00,9,100301
9F21D,0,100201
P6JMV,18,100203
661-15392,0,100104
AG-100EG2MTK-PW00,5,100401
AG-11G6EE-US00,31,100301
N116BCN-EA1REV.C1,1,100403
AG-11G6EE-CL00R,1,100301
AG-14G5T-LC00R,1,100201
AG-11G7EE-SP00,1,100301
5C50T70714-WITHOUTCABLES,1,100401
AG-11G8EE-US00,1,100301
AG-100EG1-MB01EX,0,100405
AG-100EG2MTK-MB02,1,100405
AG-11G3-MB00,1,100405
AG-11AG8EE-MB01EX,1,100405
AG-C720P-LC00RC,1,100405
B140XW01V.9-HW:6A/FW:1,2,100405
AG-XE500C13-BC00R,1,100404
MBA-A1932-HINGE-CLUTCH-COV-SG,0,100404
821-01002-01,1,100404
A1932-GASKET,0,100404
923-02813,6,100404
BA98-00601A-XX,9,100403
5B10K88048,1,100401
AG-11EG1YOGA-LC00R,1,100405
5B10W67164,0,100401
AG-XE500C12-HG00,3,100401
917442-001-NOTOUCHPAD,2,100303
L14921-001-WITHTOUCHPAD/CBL,0,100303
851133-001-NOPADS/BRACKETS,8,100302
917431-001,3,100301
799735-S51,35,100301
928088-001,1,100301
AG-11G8EE-CM00,12,100301
AG-X36011G1-CT00,0,100301
5B20U26505-EXCHANGE,2,100405
AG-11G6EE-MB01,0,100405
AG-3180-TCOOR,0,100204
3CP5R,0,100204
5HR53,2,100204
KG3NX,0,100202
6HNM6,1,100201
AG-3100-US00,5,100201
LP133WQ5-SJA1,6,300102
LP133WQ4-SJA1,39,300104
LP133WQ3-SJA1,0,300104
A2337-LCD,21,300103
13MBP-RET-ASSEMBLY-2015-B,2,300105
5D10T95195,1,100402
AG-11G7EE-US00,1,100301
L14356-001-WITHCABLE,4,100301
NV116WHM-T01,0,100402
5D10T79505,0,100402
AG-300EG1T-TC00,6,100403
AG-N23YOGA-PR01R,6,100404
B116XAK01.0-HW:2A/FW:1,0,100402
5CB0T70713,1,100402
35NL7LBV10,0,100302
928082-001,15,100301
LP133WQ3-SJA1-Q,8,300102
5D10Q93993,0,100403
5D10Q93993,0,100403
5D10Q93993,0,100403
5D10Q93993,0,100403
H06WJ,0,100203
LP133WP1-TJA7,33,300101
B116XTN02.3-HW:0A/FW:0,0,100402
0D2DT,3,100203
AG-3189-AB00,4,100201
0YFYX,2,100202
5D10U89043,20,100402
NT116WHM-N21-VER8.0,237,100402
A1618,0,100101
661-02535,0,100104
5D10Y97713,20,100201
H06WJ-X,5,100203
7K87M,8,100203
5D10L60142,1,100203
AG-3189-LC0R,11,100202
AG-11G8EE-PRO1,1,100304
L14355-001-WITHTPANDCABLE,1,100303
L13908-001,15,100302
AG-11G6EE-MB-01,1,100405
AG-11G6EE-MB01EX,1,100405
Ag-100eg1-mb01ex,1,100405
918669-855,1,100301
923-01448,3,100404
923-01288,2,100404
821-02721-04,8,100404
BA98-000264A,3,100404
AG-N23YOGA-PRO1R,5,100404
N140HGA-EA1-REVC3,3,100402
5C10C07636,1,100401
AG-XE500C12-C00R,1,100401
927658-001,25,100401
AG-100EG2MTK-HG00,16,100401
AC-C720-DCIN,8,100401
CB3-531-C4A5-US,1,100401
A2337-KB-SG,1,100104
MBR13-L16M17-TRK-SG,4,100104
661-11908,4,100104
6G08-PLUS,5,100101
8G08W-PLUS,6,100101
6S01W-PLUS,5,100101
8G01W-PLUS-SP,4,100101
8G07-PLUS,11,100101
6G07-PLUS,9,100101
A2389,4,100102
A2171,5,100102
661-6635,1,100102
A1494,2,200201
661-8311-NB,1,200201
A1322,2,200201
661-7456,1,100103
652-0021A,1,100103
923-0127,2,100103
L14348-001,36,100401
5D10L56354,7,100401
5C50S73017,1,200208
5D10T44444,2,100403
5CB0L85364-NOTOUCHPAD,2,200208
DD00G3LC012,5,200204
N140BGA-EA4REV.C4-WITHBRACKETS,1,100402
R4NXP,1,200204
5CB0L13233,1,200202
CK4ND-FFF,5,200205
794732-001,2,200207
01HY405,1,200207
5O28C07725,2,200207
60.GM9N7.003,1,200203
B116XAK01.1-HW:0A/FW:0,1,200203
IPAP10-B-LCD,6,ipad
IPAP9HBF,29,ipad
IPAM5HB,5,ipad
IPAP10PV,2,ipad
IPAM3HBF,10,ipad
IPAM4VBF,9,ipad
IPAA4CPW,10,ipad
IPAM4PBF,14,ipad
IPAM4HBFW,3,ipad
IPAP10HBF,10,ipad
IPA7-SWS,5,ipad
589-9201-HC,1,
589-9203-HC,0,
820-3196-A,1,
AIPA201-HB-HC,0,
AIPA201-NA,0,
IPA201-HB-HC,2,
IPA2BAT,4,
IPA2BTFLEX,2,
IPA2FCAM,2,
IPA2HPB-WIFI,5,
IPA2PV-REV2,2,
IPAD2-LCD-1,2,
LPO97X02-SLQ1,0,
MIPA201-HB-HC,0,
IPA302-HB-HC,1,
IPA3BAT,1,
IPA3BTFLEX,0,
IPA3CAMR,0,
IPA3HPF-DB,2,
IPA3MIC,30,
IPA3PV,14,
IPA3SPK,0,
589-9065-HC,0,
AIPA401-HB-HC,120,
IPA4CP,5,
IPA4HBFLEX,5,
IPA5HB,32,
IPA5HBW,19,
IPA5PV,60,
LTL097QL02,0,
MIPA502-HB-HC,0,
MIPA502-HC,0,
AIPA601-HC,0,
IPA601-HC,1,
IPA602-HC,0,
IPA6-LCD,83,
MIPA601-HC,141,
MIPA602-HC,39,
MIPA6-LCD,0,
TIPA602-HC,0,
IPA701-HC,3,
IPA702-HC,0,
IPA7CPB,33,
IPA7CPW,18,
IPA7HB,55,
IPA7HBW,21,
IPA7HPJ,0,
IPA7HPJ-4G,0,
IPA7HPJW,21,
IPA7-LCD,119,
IPA7MIC,2,
IPA7SPK,0,
MIPA701-HC,61,
MIPA702-HC,34,
AIPAA01-HB-HC,0,
AIPAA01-NA,0,
AIPAA02-HB-HC,0,
AIPAA02-HC,0,
IPAA01-HB-HC,0,
IPAA01-HC,250,
IPAA01-HCI,0,
IPAA02-HB-HC,0,
IPAA02-HC,0,
IPAA-5-LCD,4,
IPAABAT,51,
IPAACAMF,53,
IPAACAMR,50,
IPAACPB,52,
IPAACPW,26,
IPAAGPS,8,
IPAAHPJ,17,
IPAAHPJW,24,
IPAAPV,37,
IPAASPK,3,
IPAAWIFI,7,
IPADAIR-LCD-1,45,
IPAHBW,8,
MIPAA02-HC,48,
QIPAABAT-HC,0,
AIPAA201-HC-LCD,0,
IPAA201-HC-LCD,8,
IPAA201-HC-LCD-OCA-TD,0,
IPAA202-HC-LCD,0,
IPAA2BAT,7,
IPAA2CAMF,17,
IPAA2CAMR,56,
IPAA2CPB,17,
IPAA2CPW,16,
IPAA2HBF,19,
IPAA2HBFW,5,
IPAA2HPJ,5,
IPAA2HPJW,18,
IPAA2PV,7,
IPAA2SPKR,3,
IPAA2VB,19,
IPAA2WIFI,1,
QIPAA2BAT-HC,0,
IPAA301-HC-LCD,1,
IPAA3BAT,1,
IPAA401-HC-LCD,1,
IPAA4CPB,3,
589-9085-HC,0,
589-9223-HC,3,
AIPAM02-HB-IC,4,
B080XAN01.0,7,
IPADM-RET-LCD,0,
IPADM-RET-LCD-1,4,
IPAM01-HB-IC,6,
IPAM2HPB,0,
IPA301-HC-IC,0,
IPAM3HPJ,5,
IPAMBAT,4,
IPAMCAMR,0,
IPAMGPS,3,
IPAMHBF,3,
IPAMHPJ,6,
IPAMMF,3,
IPAMPV,0,
MIPAM01-HB-IC,0,
IPAM2CP,1,
IPAM2MIC,2,
IPAM2PV,2,
IPAM4CAMF,2,
IPAM-RET-BAT,2,
AIPAM301-HC-IC,9,
AIPAM302-HC-IC,3,
IPAM3CAMF,6,
IPAM3CAMR,5,
IPAM3HBF,0,
IPAM3HBF-W-CA,0,
IPAM3HPJW,3,
IPAM3PV,5,
IPAM3WIFI,4,
IPAM401-HC-LCD-OCA,1,
IPAM401-LCD,0,
IPAM402-LCD,4,
IPAM4CP,21,
IPAM4HBF,0,
IPAM4HBFW,0,
IPAM4HPJ,7,
IPAM4PBF,10,
IPAM4VBF,8,
IPAM4WIFI,8,
IPAM501-LCD,9,
IPAM502-LCD,0,
IPAM5BAT,5,
IPAM5HB,0,
821-00578-A,10,
821-01011-A,0,
IPAP1001-HC-LCD-OCA,0,
IPAP1002-HC-LCD-OCA,0,
IPAP10BAT,10,
IPAP10-B-LCD,12,
IPAP10CAMF,3,
IPAP10CAMR,2,
IPAP10CP-G,7,
IPAP10CPW,0,
IPAP10HBF,4,
IPAP10PV,10,
IPAP11-B-LCD,2,
IPAP11-B-LCD-1,0,
IPAP11CAMF,4,
IPAP11CPB,9,
IPAP1201-HC-LCD-OCA-2G,1,
IPAP1202-HC-LCD-OCA-2G,0,
IPAP12BAT,4,
IPAP12BAT-2G,0,
IPAP12-B-LCD,3,
IPAP12-B-LCD-3G,0,
IPAP12HBF,3,
IPAP12-TG,0,
IPAP901-HC-LCD-OCA,0,
IPAP901-HC-LCD-OCA-1,0,
IPAP9BAT,1,
IPAP9-B-LCD,2,
IPAP9CAMF,8,
IPAP9CAMR,7,
IPAP9CP-G,9,
IPAP9HBF,0,
IPAP9HPJ,8,
IPAP9PF,3,
IPAP9-TG,0,
IPAP9VFC,0,
IPAP9-W-LCD,5,
