cyma_customer_number,,cyma_code,agid,workorder_id,submitted_date,device_status,part_number,serial_number,date_received,assigned_to,repaired_by,date_repaired,hold_reason,protectionplan_id,repair_loc,billing_co,request_id,job,requester,request_datetime,request_status,item_number,return_reason,invoice_number
repairs in progress,,,,,,,,,,,,,,,,,,,,,,,,
PA,,,,,,,,,,,,,,,,,,,,,,,,
RUIDOSOMUNICIPA,,DF1,2144024453912,144024,06/22/2021,hold,REPAIR-LENOVO-N42,LR0B6RPK,06/28/2021,kwichterman,,,Parts,,PA,PA,243583,264343,kwichterman,03/10/2022,requested parts received and scanned in by tech,5B30L85352,,
RUIDOSOMUNICIPA,,DF1,2144024453913,144024,06/22/2021,hold,REPAIR-LENOVO-N42,LR083EM9,06/28/2021,kwichterman,,,Parts,,PA,PA,243552,264402,kwichterman,03/10/2022,requested parts received and scanned in by tech,N140BGN-E42REV.C2,3,
RUIDOSOMUNICIPA,,DF1,2144024453917,144024,06/22/2021,hold,REPAIR-LENOVO-N42,LR0BCUFL,06/28/2021,kwichterman,,,Parts,,PA,PA,243563,264390,kwichterman,03/10/2022,requested parts received and scanned in by tech,N140BGN-E42REV.C2,3,
WOODLANDHILLSSD,,PJ1,2150068480554,150068,10/12/2021,received,REPAIR-HP-11G7EE,5CD93321C4,01/06/2022,cakelley,,,,,PA,PA,223081,269963,cakelley,01/13/2022,requested parts received and scanned in by tech,L52568-001,,
UPPERSTCLAIR,,AB1,2150139480845,150139,10/12/2021,received,REPAIR-DELL-CRM5190,JT1P6P2,10/18/2021,kwichterman,,,,,PA,PA,230480,263010,kwichterman,02/03/2022,all parts on request used or returned,AG-51902IN1-PR00R,,
UPPERSTCLAIR,,AB1,2150139480845,150139,10/12/2021,received,REPAIR-DELL-CRM5190,JT1P6P2,10/18/2021,kwichterman,,,,,PA,PA,230481,263010,kwichterman,02/03/2022,all parts on request used or returned,AG-51902IN1-CM01,,
UPPERSTCLAIR,,AB1,2150139480845,150139,10/12/2021,received,REPAIR-DELL-CRM5190,JT1P6P2,10/18/2021,kwichterman,,,,,PA,PA,242720,263010,kwichterman,03/09/2022,all parts on request used or returned,C5NRC,,
UPPERSTCLAIR,,AB1,2150147480898,150147,10/12/2021,hold,REPAIR-DELL-CRM5190,6V1P6P2,10/18/2021,mfoster,,,Logicboard,,PA,PA,227565,261935,mfoster,01/27/2022,requested parts received and scanned in by tech,AG-51902IN1-CB01R,,
UPPERSTCLAIR,,AB1,2150147480898,150147,10/12/2021,hold,REPAIR-DELL-CRM5190,6V1P6P2,10/18/2021,mfoster,,,Logicboard,,PA,PA,227564,261935,mfoster,01/27/2022,all parts on request used or returned,HCW77,,
RIVERVIEWACADEM,,DF1,2150474482324,150474,10/15/2021,hold,REPAIR-LENOVO-300EG2M,P204BUY9,10/29/2021,kwichterman,,,Waiting for Approval,,PA,PA,222197,251409,kwichterman,01/11/2022,all parts on request used or returned,5CB0T70713,,
RIVERVIEWACADEM,,DF1,2150474482324,150474,10/15/2021,hold,REPAIR-LENOVO-300EG2M,P204BUY9,10/29/2021,kwichterman,,,Waiting for Approval,,PA,PA,222198,251409,kwichterman,01/11/2022,all parts on request used or returned,5H50T95189,,
PETOSKEY,,JG1,2151298485449,151298,10/25/2021,received,REPAIR-SAM-XE310XBA,3VV49FFN700397Z,11/30/2021,mfoster,,,,,PA,PA,221579,267901,mfoster,01/10/2022,requested parts received and scanned in by tech,NT116WHM-N21,,
PETOSKEY,,JG1,2151298485449,151298,10/25/2021,received,REPAIR-SAM-XE310XBA,3VV49FFN700397Z,11/30/2021,mfoster,,,,,PA,PA,221580,267901,mfoster,01/10/2022,requested parts received and scanned in by tech,BA98-01976A,,
LANCASTERCOUNTY,,SB8,2151468500006,151468,10/26/2021,hold,REPAIR-LENOVO-11E-G3,LR07911H,12/08/2021,kwichterman,,,Logicboard,,PA,PA,233972,261370,kwichterman,02/15/2022,all parts on request used or returned,DD0LI8L050,,
LANCASTERCOUNTY,,SB8,2151468500006,151468,10/26/2021,hold,REPAIR-LENOVO-11E-G3,LR07911H,12/08/2021,kwichterman,,,Logicboard,,PA,PA,233973,261370,kwichterman,02/15/2022,all parts on request used or returned,NT116WHM-N21,,
LANCASTERCOUNTY,,SB8,2151468500006,151468,10/26/2021,hold,REPAIR-LENOVO-11E-G3,LR07911H,12/08/2021,kwichterman,,,Logicboard,,PA,PA,249377,261370,kwichterman,03/25/2022,all parts on request used or returned,DD0LI8L050,,
